from	to	weight
A2M	hsa-let-7c.MIMAT0000064	0.316216550684096
A2M	hsa-mir-100.MIMAT0000098	0.311424714936138
A2M	hsa-mir-125b-2.MIMAT0004603	0.296099474480956
A2M	hsa-mir-140.MIMAT0004597	0.25586963904382
A2M	hsa-mir-141.MIMAT0000432	0.25523792255933
A2M	hsa-mir-218.MIMAT0000275	0.274834084485964
A2M	hsa-mir-99a.MIMAT0000097	0.326210334248531
A2ML1	hsa-let-7a.MIMAT0000062	0.277431460919917
A2ML1	hsa-let-7b.MIMAT0000063	0.215941991446645
A2ML1	hsa-mir-190b.MIMAT0004929	0.216828409110532
AASS	hsa-mir-3200.MIMAT0015085	0.228364789648484
ABAT	hsa-mir-10a.MIMAT0000253	0.231248525035543
ABAT	hsa-mir-188.MIMAT0004613	0.240259478625247
ABAT	hsa-mir-18a.MIMAT0002891	0.251755567451204
ABAT	hsa-mir-190b.MIMAT0004929	0.291097546234739
ABAT	hsa-mir-199a.MIMAT0000231	0.223431932908544
ABCA10	hsa-let-7c.MIMAT0000064	0.387296886601855
ABCA10	hsa-mir-125b-2.MIMAT0004603	0.340323945364438
ABCA10	hsa-mir-139.MIMAT0000250	0.219359592017636
ABCA10	hsa-mir-139.MIMAT0004552	0.243546131132255
ABCA10	hsa-mir-140.MIMAT0004597	0.239039215347689
ABCA10	hsa-mir-195.MIMAT0000461	0.250838931003321
ABCA10	hsa-mir-204.MIMAT0000265	0.417199092860884
ABCA10	hsa-mir-210.MIMAT0000267	0.264300679778741
ABCA10	hsa-mir-410.MIMAT0002171	0.228333131874773
ABCA10	hsa-mir-99a.MIMAT0000097	0.431803399469301
ABCA6	ABCA8	0.626890112989472
ABCA6	ABCA9	0.770276804061405
ABCA6	AKAP12	0.610135955748188
ABCA6	EBF3	0.628547829140117
ABCA6	hsa-let-7c.MIMAT0000064	0.402065238037679
ABCA6	hsa-mir-10b.MIMAT0000254	0.268183074027387
ABCA6	hsa-mir-195.MIMAT0000461	0.216755020635112
ABCA6	hsa-mir-204.MIMAT0000265	0.269029199979279
ABCA6	hsa-mir-210.MIMAT0000267	0.24639676975589
ABCA6	hsa-mir-218.MIMAT0000275	0.268047808994261
ABCA6	hsa-mir-411.MIMAT0003329	0.265686426873421
ABCA6	hsa-mir-99a.MIMAT0000097	0.464300104182855
ABCA6	IGF1	0.643612612457046
ABCA6	LAMA2	0.620493803710291
ABCA6	RUNX1T1	0.631749581253993
ABCA8	ABI3BP	0.684010809690732
ABCA8	C7	0.681573161115044
ABCA8	CHRDL1	0.66427506576183
ABCA8	FREM1	0.663415988902511
ABCA8	GDF10	0.75581351844497
ABCA8	hsa-let-7c.MIMAT0000064	0.32050186205269
ABCA8	hsa-mir-125b-2.MIMAT0004603	0.261393920556256
ABCA8	hsa-mir-139.MIMAT0000250	0.298908382402883
ABCA8	hsa-mir-139.MIMAT0004552	0.267391629684631
ABCA8	hsa-mir-202.MIMAT0002810	0.241960364467315
ABCA8	hsa-mir-204.MIMAT0000265	0.365442949813795
ABCA8	hsa-mir-210.MIMAT0000267	0.298922772300024
ABCA8	hsa-mir-218.MIMAT0000275	0.355892375081303
ABCA8	hsa-mir-335.MIMAT0000765	0.220340983002654
ABCA8	hsa-mir-337.MIMAT0000754	0.254973148451935
ABCA8	hsa-mir-495.MIMAT0002817	0.235125163325333
ABCA8	hsa-mir-542.MIMAT0003389	0.253905418084072
ABCA8	IGF1	0.654055360812281
ABCA8	ITM2A	0.61999879124864
ABCA8	TMEM100	0.706736774245538
ABCA8	TNXB	0.67955425854616
ABCA9	hsa-let-7c.MIMAT0000064	0.309997237139749
ABCA9	hsa-mir-10b.MIMAT0000254	0.264912250407234
ABCA9	hsa-mir-204.MIMAT0000265	0.291419879930698
ABCA9	hsa-mir-337.MIMAT0000754	0.214723167158801
ABCA9	hsa-mir-411.MIMAT0003329	0.244480035456707
ABCB1	FREM1	0.613980936264268
ABCB1	hsa-let-7c.MIMAT0000064	0.361947643798242
ABCB1	hsa-mir-1247.MIMAT0005899	0.220136646463251
ABCB1	hsa-mir-139.MIMAT0000250	0.228442495093045
ABCB1	hsa-mir-139.MIMAT0004552	0.278838792860309
ABCB1	hsa-mir-140.MIMAT0004597	0.213252519670989
ABCB1	hsa-mir-150.MIMAT0000451	0.395950970742461
ABCB1	hsa-mir-150.MIMAT0004610	0.330815101333656
ABCB1	hsa-mir-193b.MIMAT0002819	0.22547961527171
ABCB1	hsa-mir-193b.MIMAT0004767	0.249332308772657
ABCB1	hsa-mir-204.MIMAT0000265	0.459548560146892
