	from	to	weight
1	ABCC9	hsa-mir-141.MIMAT0000432	0.54483533581122
2	ABCC9	hsa-mir-200a.MIMAT0000682	0.570789754228254
3	ABCC9	ZEB1	0.876777019045149
4	ABCD2	ADIPOQ	0.868157720344599
5	ABCD2	GPAM	0.860667876797188
6	ABCD2	hsa-mir-378a.MIMAT0000731	0.543388941712047
7	ABCD2	KLB	0.875759933154695
8	ABCD2	LOC283392	0.84857521537442
9	ABCD2	LPL	0.884279828276716
10	ABCD2	PDE3B	0.90650445155156
11	ABCD2	PRKAR2B	0.850266516840983
12	ABCD2	VKORC1L1	0.849891952632034
13	ABHD15	AOC3	0.864775117411473
14	ABHD15	AQP7	0.848124297692108
15	ABHD15	C10orf58	0.851977987149566
16	ABHD15	CEBPA	0.873345434638546
17	ABHD15	CIDEC	0.889723974990636
18	ABHD15	GPD1	0.838686720258161
19	ABHD15	GPR109A	0.83972109372749
20	ABHD15	GYG2	0.886192987005503
21	ABHD15	hsa-mir-215.MIMAT0000272	0.577377762411041
22	ABHD15	hsa-mir-224.MIMAT0000281	0.634184746592906
23	ABHD15	hsa-mir-335.MIMAT0004703	0.54686518569741
24	ABHD15	hsa-mir-378a.MIMAT0000731	0.587601924683781
25	ABHD15	hsa-mir-378a.MIMAT0000732	0.550237704209525
26	ABHD15	hsa-mir-652.MIMAT0003322	0.585462586798052
27	ABHD15	KCNIP2	0.881225689342208
28	ABHD15	LGALS12	0.858550148385052
29	ABHD15	LIPE	0.875409859682485
30	ABHD15	MOSC1	0.853401331143573
31	ABHD15	PDE3B	0.873263318638891
32	ABHD15	PLIN1	0.860267381219927
33	ABHD15	SLC7A10	0.84875529432103
34	ABHD15	TMEM132C	0.843728930763247
35	ABHD15	TUSC5	0.845042786757715
36	ABHD15	TYRO3	0.861814619529202
37	ABHD6	hsa-mir-215.MIMAT0000272	0.567356729190077
38	ABHD6	hsa-mir-224.MIMAT0000281	0.598559368427119
39	ABHD6	hsa-mir-224.MIMAT0009198	0.552591696199614
40	ABHD6	hsa-mir-22.MIMAT0000077	0.557926354913994
41	ABHD6	hsa-mir-452.MIMAT0001635	0.655189154925519
42	ABHD6	hsa-mir-452.MIMAT0001636	0.547648889273057
43	ABLIM3	BTNL9	0.849188924424468
44	ABLIM3	hsa-mir-215.MIMAT0000272	0.575359437577434
45	ABLIM3	hsa-mir-224.MIMAT0000281	0.616500994035785
46	ABLIM3	hsa-mir-224.MIMAT0009198	0.57644711441496
47	ABLIM3	hsa-mir-452.MIMAT0001635	0.587822341314432
48	ABLIM3	hsa-mir-652.MIMAT0003322	0.563199066470741
49	ACAA2	ACAT1	0.868360849396375
50	ACAA2	hsa-mir-141.MIMAT0004598	0.550334226524908
51	ACAA2	hsa-mir-193b.MIMAT0004767	0.569269887918864
52	ACAA2	hsa-mir-200a.MIMAT0000682	0.582448785547584
53	ACAA2	hsa-mir-200a.MIMAT0001620	0.552436107989743
54	ACAA2	hsa-mir-200b.MIMAT0000318	0.573888552741522
55	ACAA2	hsa-mir-378a.MIMAT0000731	0.571358803699542
56	ACAA2	hsa-mir-652.MIMAT0003322	0.557636787967845
57	ACAA2	PHYH	0.862526291526205
58	ACAA2	TSPAN3	0.837382948684703
59	ACACB	ALDH1L1	0.861653268793039
60	ACACB	AQP7	0.856390641657302
61	ACACB	GPD1	0.888509522574697
62	ACACB	GYG2	0.851316737257614
63	ACACB	hsa-mir-378a.MIMAT0000731	0.597856340219552
64	ACACB	hsa-mir-378a.MIMAT0000732	0.571929293802403
65	ACACB	KCNIP2	0.847010689486271
66	ACACB	LIPE	0.838130636471029
67	ACACB	LPL	0.843842740657504
68	ACACB	MLXIPL	0.85276457198836
69	ACACB	NAT8L	0.851139539574149
70	ACACB	PECR	0.837037197107212
71	ACACB	STBD1	0.854372316823696
72	ACACB	TMEM132C	0.838449016048636
73	ACACB	TNS1	0.840095657936439
74	ACACB	TUSC5	0.844407468234074
75	ACADL	ACSL1	0.846098769700637
76	ACADL	hsa-mir-378a.MIMAT0000731	0.540661826144582
77	ACAP1	CD6	0.842598034978535
78	ACAT1	hsa-mir-193b.MIMAT0004767	0.550597862102746
79	ACAT1	hsa-mir-200a.MIMAT0000682	0.567757224767338
80	ACAT1	hsa-mir-200b.MIMAT0000318	0.554605699138502
81	ACAT1	hsa-mir-378a.MIMAT0000731	0.647754055377878
82	ACAT1	hsa-mir-378a.MIMAT0000732	0.573570173163915
83	ACAT1	hsa-mir-652.MIMAT0003322	0.559042844382978
84	ACAT1	HSPB6	0.86058864206068
85	ACAT1	MGST3	0.837114991212147
86	ACAT1	PHYH	0.913949635520212
87	ACAT1	PRDX6	0.846028178753566
88	ACAT1	TSPAN3	0.866312271299738
89	ACER3	hsa-mir-378a.MIMAT0000731	0.565786440775636
90	ACO1	ACSM5	0.83813639899732
91	ACO1	ADIPOQ	0.868039588555623
92	ACO1	ALDH2	0.852083153254387
93	ACO1	AOC3	0.920161638862477
94	ACO1	AQP7	0.911912582476158
95	ACO1	AQPEP	0.890589794565938
96	ACO1	C10orf58	0.909564353012361
97	ACO1	CALB2	0.870667300544559
98	ACO1	CAT	0.836367303425822
99	ACO1	CD36	0.863758031521019
100	ACO1	CDKN2B	0.841678912035036
101	ACO1	CIDEC	0.909921629642435
102	ACO1	DMGDH	0.840919699196128
103	ACO1	FABP4	0.839543896044026
104	ACO1	FAM89A	0.878249344512634
105	ACO1	FZD4	0.862408159737229
106	ACO1	GPD1	0.880029965136716
107	ACO1	GYG2	0.915995332353704
108	ACO1	HRASLS5	0.846303339383986
109	ACO1	hsa-mir-215.MIMAT0000272	0.577651482409889
110	ACO1	hsa-mir-224.MIMAT0000281	0.675699426628634
111	ACO1	hsa-mir-224.MIMAT0009198	0.57165269254041
112	ACO1	hsa-mir-22.MIMAT0000077	0.53893594952027
113	ACO1	hsa-mir-335.MIMAT0004703	0.590026507620941
114	ACO1	hsa-mir-378a.MIMAT0000732	0.568781513815657
115	ACO1	hsa-mir-452.MIMAT0001635	0.629344224508024
116	ACO1	hsa-mir-452.MIMAT0001636	0.549148586740427
117	ACO1	hsa-mir-652.MIMAT0003322	0.663768115942029
118	ACO1	ITGB1BP1	0.837704209525456
119	ACO1	KCNIP2	0.887551502578731
120	ACO1	LIPE	0.843292419396663
121	ACO1	LPL	0.904375198086841
122	ACO1	MAOA	0.868428559080301
123	ACO1	MMD	0.861026594058835
124	ACO1	MOSC1	0.906616820814245
125	ACO1	PDE3B	0.876519145993604
126	ACO1	PECR	0.877314374621834
127	ACO1	PFKFB1	0.857620941020543
128	ACO1	PLIN1	0.926970063675916
129	ACO1	PPARG	0.896192410752874
130	ACO1	PRKAR2B	0.851560203993431
131	ACO1	PYGL	0.872612153167949
132	ACO1	RBP4	0.869630045812084
133	ACO1	RDH5	0.849273921687268
134	ACO1	SLC19A3	0.880825193764947
135	ACO1	SLC7A10	0.84037081856686
136	ACO1	SORBS1	0.860310600167113
137	ACO1	TIMP4	0.838716973521192
138	ACO1	TMEM132C	0.836289509320886
139	ACO1	TNS1	0.840036592041951
140	ACO1	TSPAN3	0.867411473189846
141	ACO1	TYRO3	0.850324142103898
142	ACO1	VKORC1L1	0.862749589420002
143	ACOT1	ACOT2	0.876239663468465
144	ACOT1	hsa-mir-652.MIMAT0003322	0.549122655372115
145	ACOT2	hsa-mir-378a.MIMAT0000731	0.553592935142767
146	ACOT2	hsa-mir-652.MIMAT0003322	0.541106981300602
147	ACOX1	hsa-mir-224.MIMAT0000281	0.541700521508629
148	ACSL1	hsa-mir-224.MIMAT0000281	0.565524245829372
149	ACSL1	PFKFB1	0.847409744431959
150	ACSM5	AQP7	0.839862275621633
