	from	to	weight
1	A4GALT	MFRP	0.768460252974904
2	AARS2	ABCC10	0.761445817846544
3	AARS2	CCHCR1	0.771884634223644
4	AARS2	KIAA0649	0.775745526838966
5	AARS2	KRI1	0.772779266430403
6	AARS2	MBD1	0.760983375111649
7	AARS2	NEURL4	0.78965626530671
8	AARS2	SFRS16	0.768722447921169
9	AARS2	SNAPC4	0.797275765695681
10	AARS2	TRMT2A	0.760578557639669
11	AARS2	TSNARE1	0.766996571296856
12	AARS2	U2AF2	0.763981329414815
13	AARS2	USP20	0.788194024260236
14	AARS2	ZBTB48	0.791903650560406
15	AARS2	ZFYVE27	0.78449160111793
16	AARS2	ZNF512B	0.795894200017288
17	ABAT	hsa-mir-196a.MIMAT0000226	0.477223614832743
18	ABCA1	ANO6	0.767100296770104
19	ABCA1	hsa-mir-200a.MIMAT0000682	0.477386406200478
20	ABCA1	hsa-mir-200b.MIMAT0000318	0.466908692770911
21	ABCA1	hsa-mir-378a.MIMAT0000731	0.478109603250065
22	ABCA6	ABCA9	0.79588555622785
23	ABCA8	EBF3	0.767509436136802
24	ABCA8	FAM26E	0.783589765753306
25	ABCA8	hsa-mir-452.MIMAT0001635	0.475484772524275
26	ABCA8	NEGR1	0.795813524649206
27	ABCA8	PCOLCE2	0.75487941913735
28	ABCA8	ZEB1	0.752142219148875
29	ABCC10	MINK1	0.78422652490852
30	ABCC10	SNAPC4	0.775935690206587
31	ABCC10	TOP3B	0.783382314806811
32	ABCC6	hsa-mir-224.MIMAT0000281	0.509606131327974
33	ABCC9	AKAP12	0.760074336589161
34	ABCC9	ANGPT1	0.756299881868211
35	ABCC9	ANKRD40	0.756092430921716
36	ABCC9	ANTXR2	0.785092344483822
37	ABCC9	ASPA	0.807560434494482
38	ABCC9	BSPRY	0.751905955570922
39	ABCC9	C1orf172	0.764767914253609
40	ABCC9	C7orf58	0.813917941625609
41	ABCC9	CCDC120	0.756197597026536
42	ABCC9	DOCK11	0.781572881551272
43	ABCC9	EBF1	0.810777364796727
44	ABCC9	EBF2	0.759776125853574
45	ABCC9	EBF3	0.758223125018008
46	ABCC9	ECM2	0.779543031665082
47	ABCC9	ELMO3	0.767176650243467
48	ABCC9	GBE1	0.789708128043334
49	ABCC9	hsa-mir-141.MIMAT0000432	0.54483533581122
50	ABCC9	hsa-mir-141.MIMAT0004598	0.498974270320108
51	ABCC9	hsa-mir-193b.MIMAT0002819	0.47024807675685
52	ABCC9	hsa-mir-200a.MIMAT0000682	0.570789754228254
53	ABCC9	hsa-mir-200b.MIMAT0000318	0.526487452099
54	ABCC9	hsa-mir-200b.MIMAT0004571	0.47056789696603
55	ABCC9	hsa-mir-200c.MIMAT0000617	0.479545912928228
56	ABCC9	hsa-mir-215.MIMAT0000272	0.457476877863255
57	ABCC9	hsa-mir-22.MIMAT0000077	0.497942778113925
58	ABCC9	hsa-mir-342.MIMAT0000753	0.455297202293485
59	ABCC9	hsa-mir-429.MIMAT0001536	0.496528077909355
60	ABCC9	hsa-mir-652.MIMAT0003322	0.466413115509839
61	ABCC9	HSDL2	0.770863226438471
62	ABCC9	MAP7D3	0.786813899213415
63	ABCC9	PCDH9	0.763042037629297
64	ABCC9	PDE8A	0.752028409254617
65	ABCC9	PRKCZ	0.795413029071945
66	ABCC9	PRSS8	0.778442389143401
67	ABCC9	PTPRM	0.78223701270637
68	ABCC9	RAB25	0.823613392111102
69	ABCC9	RTKN	0.777939608724465
70	ABCC9	SEC23A	0.815733137407439
71	ABCC9	SETD7	0.756062177658686
72	ABCC9	SPINT1	0.753842164404875
73	ABCC9	YWHAG	0.755805745238713
74	ABCC9	ZEB1	0.876777019045149
75	ABCC9	ZEB2	0.818392543290979
76	ABCC9	ZFPM2	0.798311579796583
77	ABCD1	hsa-mir-193b.MIMAT0004767	0.509581640591235
78	ABCD1	hsa-mir-652.MIMAT0003322	0.453987668193736
79	ABCD2	ABHD15	0.781153657763564
80	ABCD2	ACO1	0.794691272653931
81	ABCD2	ACOX1	0.762327484369147
82	ABCD2	ACVR1C	0.822299536116634
83	ABCD2	ADIPOQ	0.868157720344599
84	ABCD2	ADRBK2	0.780989425764255
85	ABCD2	ANO3	0.759002506698937
86	ABCD2	ANO6	0.811015069006252
87	ABCD2	AOC3	0.803133373671017
88	ABCD2	AQPEP	0.832322009969171
89	ABCD2	ASAM	0.800191603999193
90	ABCD2	ASPH	0.806737833866367
91	ABCD2	ATP2B4	0.80449477050739
92	ABCD2	C7orf58	0.779214567666465
93	ABCD2	CDO1	0.777263952516783
94	ABCD2	CIDEC	0.790555219408189
95	ABCD2	DMGDH	0.819998847494742
96	ABCD2	DOCK11	0.784628461117354
97	ABCD2	EBF1	0.783717981963293
98	ABCD2	ELOVL3	0.774489296107413
99	ABCD2	FERMT2	0.798687584637105
100	ABCD2	FZD4	0.78143169965713
101	ABCD2	GBE1	0.77396778747803
102	ABCD2	GHR	0.794047310340853
103	ABCD2	GNAI1	0.770953986227562
104	ABCD2	GPAM	0.860667876797188
105	ABCD2	GPR109A	0.775948655890743
106	ABCD2	GYG2	0.831327974183882
107	ABCD2	HRASLS5	0.762990174892673
108	ABCD2	HSDL2	0.789131875414182
109	ABCD2	HSPA12A	0.753758607773648
110	ABCD2	KCNIP2	0.823521191690437
111	ABCD2	KIAA0408	0.792818451609186
112	ABCD2	KLB	0.875759933154695
113	ABCD2	LGALS12	0.771589304751203
114	ABCD2	LOC283392	0.84857521537442
115	ABCD2	LPL	0.884279828276716
116	ABCD2	MAOA	0.765737459302158
117	ABCD2	MAPK10	0.792353127611145
118	ABCD2	MMD	0.823322384533379
119	ABCD2	MOSC1	0.831241536289509
120	ABCD2	PALM2-AKAP2	0.757296798916645
121	ABCD2	PDE3B	0.90650445155156
122	ABCD2	PECR	0.821589304751203
123	ABCD2	PEX19	0.758233209439018
124	ABCD2	PFKFB1	0.765646699513067
125	ABCD2	PHLDB2	0.758819546489181
126	ABCD2	PLIN1	0.816516840983087
127	ABCD2	PLOD2	0.753065663987092
128	ABCD2	PLXNA4	0.782453107442303
129	ABCD2	PPP2R1B	0.789471864465382
130	ABCD2	PRKAR2B	0.850266516840983
131	ABCD2	PTGER3	0.800207450946495
132	ABCD2	PYGL	0.78084680323854
133	ABCD2	RASGRF2	0.813021868787276
134	ABCD2	RHOBTB3	0.772316823695508
135	ABCD2	RRAGC	0.800371682945804
136	ABCD2	SEPT11	0.769425476128735
137	ABCD2	SGK2	0.77535223441957
138	ABCD2	SIK2	0.793587748869104
139	ABCD2	SLC16A7	0.775474688103264
140	ABCD2	SLC19A3	0.799515947791512
141	ABCD2	SLC25A16	0.817055637191345
142	ABCD2	SORBS1	0.784879131011035
143	ABCD2	TNS1	0.758743193015818
144	ABCD2	VKORC1L1	0.849891952632034
145	ABCD2	YWHAG	0.762274181000951
146	ABCE1	WDR43	0.772571815483908
147	ABHD11	CLDN7	0.773212896533841
148	ABHD11	hsa-mir-141.MIMAT0000432	0.44912985852998
149	ABHD11	hsa-mir-200a.MIMAT0000682	0.491101218774311
150	ABHD11	hsa-mir-200b.MIMAT0000318	0.473554326216613
151	ABHD11	hsa-mir-429.MIMAT0001536	0.48000691503155
152	ABHD11	KRT18	0.760124758694212
153	ABHD15	ACACB	0.812945515313914
154	ABHD15	ACO1	0.818578384763881
155	ABHD15	ACSM5	0.78856138531132
156	ABHD15	ADH1A	0.774077275477569
157	ABHD15	ADH1B	0.754346385455384
158	ABHD15	ADIPOQ	0.829236177140058
159	ABHD15	AGPAT2	0.785387673956263
160	ABHD15	AIFM2	0.80734433975855
161	ABHD15	ALDH1L1	0.789188060045524
162	ABHD15	ALDH2	0.807461030915954
163	ABHD15	AOC3	0.864775117411473
164	ABHD15	AQP7	0.848124297692108
165	ABHD15	AQP7P1	0.810124758694212
166	ABHD15	AQPEP	0.790481747197972
167	ABHD15	AVPI1	0.794169764024548
168	ABHD15	BOK	0.803186677039214
169	ABHD15	C10orf116	0.754440026507621
170	ABHD15	C10orf58	0.851977987149566
171	ABHD15	C14orf180	0.77641253925721
172	ABHD15	C2CD2	0.805001872821045
173	ABHD15	CALB2	0.797298815800847
174	ABHD15	CAMK1	0.788855274152188
175	ABHD15	CD36	0.76669836056127
176	ABHD15	CDO1	0.780542829976662
177	ABHD15	CEBPA	0.873345434638546
178	ABHD15	CIDEA	0.820212060967528
179	ABHD15	CIDEC	0.889723974990636
180	ABHD15	CPM	0.786132480479442
181	ABHD15	DMGDH	0.754725271559052
182	ABHD15	DTX1	0.786370184688968
183	ABHD15	ELMOD3	0.776583974414383
184	ABHD15	ESYT1	0.778139856513095
185	ABHD15	FABP4	0.80570922292333
186	ABHD15	FAH	0.761176419742415
187	ABHD15	FAM89A	0.820092488546979
188	ABHD15	FBXO27	0.771779468118823
189	ABHD15	FZD4	0.7623087561587
190	ABHD15	GDPD5	0.75471950903276
191	ABHD15	GPD1	0.838686720258161
192	ABHD15	GPR109A	0.83972109372749
193	ABHD15	GPR146	0.766394387299392
194	ABHD15	GYG2	0.886192987005503
195	ABHD15	HRASLS5	0.794113579393206
196	ABHD15	hsa-mir-141.MIMAT0000432	0.450710231365431
197	ABHD15	hsa-mir-193a.MIMAT0004614	0.472071916328118
198	ABHD15	hsa-mir-200a.MIMAT0000682	0.476782781571441
199	ABHD15	hsa-mir-200b.MIMAT0000318	0.466800645402945
200	ABHD15	hsa-mir-215.MIMAT0000272	0.577377762411041
201	ABHD15	hsa-mir-224.MIMAT0000281	0.634184746592906
202	ABHD15	hsa-mir-22.MIMAT0000077	0.471618117382661
203	ABHD15	hsa-mir-335.MIMAT0004703	0.54686518569741
204	ABHD15	hsa-mir-378a.MIMAT0000732	0.550237704209525
205	ABHD15	ITGA7	0.778141297144668
206	ABHD15	KCNIP2	0.881225689342208
207	ABHD15	KLB	0.774715475264356
208	ABHD15	LGALS12	0.858550148385052
209	ABHD15	LIPE	0.875409859682485
210	ABHD15	LPL	0.827408015674072
211	ABHD15	MAPK10	0.766166767510877
212	ABHD15	MCAM	0.768422796554009
213	ABHD15	MGC45800	0.773212896533841
214	ABHD15	MGLL	0.795235831388481
215	ABHD15	MLXIPL	0.810931512375025
216	ABHD15	MOSC1	0.853401331143573
217	ABHD15	MYO16	0.799756533264183
218	ABHD15	NAT8L	0.813369060996341
219	ABHD15	NPR1	0.792517359610453
220	ABHD15	PCK1	0.817216987927507
221	ABHD15	PDE3B	0.873263318638891
222	ABHD15	PECR	0.830682571239231
223	ABHD15	PFKFB1	0.827965540092777
224	ABHD15	PLA2G16	0.817967556976979
225	ABHD15	PLIN1	0.860267381219927
226	ABHD15	PNPLA2	0.785345895640649
227	ABHD15	PPARG	0.813845910046964
228	ABHD15	PRKAR2B	0.792079407612297
229	ABHD15	PTPRS	0.756848762497479
230	ABHD15	PYGL	0.816336762036477
231	ABHD15	RBP4	0.833295876912439
232	ABHD15	RDH5	0.813554902469243
233	ABHD15	RETSAT	0.79325064108105
234	ABHD15	SGCG	0.782417091652981
235	ABHD15	SH3KBP1	0.757979658282191
236	ABHD15	SLC19A3	0.812415362895093
237	ABHD15	SLC7A10	0.84875529432103
238	ABHD15	SNN	0.798689025268678
239	ABHD15	STBD1	0.782241334601089
240	ABHD15	STX11	0.790321837093382
241	ABHD15	THRSP	0.76474342351687
242	ABHD15	TMEM132C	0.843728930763247
243	ABHD15	TNS1	0.76652836603567
244	ABHD15	TUSC5	0.845042786757715
245	ABHD15	TYRO3	0.861814619529202
246	ABHD5	hsa-mir-224.MIMAT0000281	0.44884029158383
247	ABHD5	hsa-mir-378a.MIMAT0000731	0.508574639121791
