	from	to	weight
1	A1BG	SLC25A29	0.748568012216556
2	A4GALT	MFRP	0.768460252974904
3	AARS2	ABCC10	0.761445817846544
4	AARS2	ANAPC2	0.74013599562048
5	AARS2	AXIN1	0.728124009565794
6	AARS2	BRPF1	0.734449822802317
7	AARS2	CCHCR1	0.771884634223644
8	AARS2	CHTF18	0.731783213760913
9	AARS2	CNTROB	0.745871149912121
10	AARS2	CXXC1	0.741629930561558
11	AARS2	EHMT2	0.72782723946178
12	AARS2	EVPL	0.735995620480018
13	AARS2	FZR1	0.737928948050825
14	AARS2	KDM5C	0.744491024865301
15	AARS2	KIAA0649	0.775745526838966
16	AARS2	KRI1	0.772779266430403
17	AARS2	MARK2	0.729096435877489
18	AARS2	MBD1	0.760983375111649
19	AARS2	MINK1	0.747111533696372
20	AARS2	NEURL4	0.78965626530671
21	AARS2	NUMA1	0.73100671334313
22	AARS2	RBM10	0.747512029273633
23	AARS2	RHOT2	0.737358457947964
24	AARS2	SFRS16	0.768722447921169
25	AARS2	SNAPC4	0.797275765695681
26	AARS2	SRRT	0.745166681072982
27	AARS2	TRMT2A	0.760578557639669
28	AARS2	TSNARE1	0.766996571296856
29	AARS2	U2AF2	0.763981329414815
30	AARS2	USP20	0.788194024260236
31	AARS2	ZBTB48	0.791903650560406
32	AARS2	ZFYVE27	0.78449160111793
33	AARS2	ZNF512B	0.795894200017288
34	AARS2	ZNF687	0.733347739649062
35	ABAT	hsa-mir-196a.MIMAT0000226	0.477223614832743
36	ABCA1	ABCC9	0.729795142190336
37	ABCA1	ANO6	0.767100296770104
38	ABCA1	COL4A3BP	0.733244014175815
39	ABCA1	hsa-mir-200a.MIMAT0000682	0.477386406200478
40	ABCA1	hsa-mir-200b.MIMAT0000318	0.466908692770911
41	ABCA1	hsa-mir-215.MIMAT0000272	0.428842884720662
42	ABCA1	hsa-mir-224.MIMAT0000281	0.418676347710836
43	ABCA1	hsa-mir-224.MIMAT0009198	0.414986890252687
44	ABCA1	hsa-mir-22.MIMAT0000077	0.431278992710404
45	ABCA1	hsa-mir-378a.MIMAT0000731	0.478109603250065
46	ABCA1	hsa-mir-378a.MIMAT0000732	0.419183450024491
47	ABCA1	hsa-mir-429.MIMAT0001536	0.413333045207019
48	ABCA1	hsa-mir-452.MIMAT0001635	0.422347076958539
49	ABCA1	hsa-mir-652.MIMAT0003322	0.433124441755266
50	ABCA1	ZEB2	0.731315008499726
51	ABCA13	hsa-mir-200a.MIMAT0001620	0.417839340766992
52	ABCA6	ABCA8	0.728525945774628
53	ABCA6	ABCA9	0.79588555622785
54	ABCA8	ABCC9	0.750280923156712
55	ABCA8	AKAP12	0.741279857089348
56	ABCA8	ANTXR2	0.735963926585415
57	ABCA8	DSE	0.739999135621056
58	ABCA8	EBF3	0.767509436136802
59	ABCA8	ECM2	0.747229665485349
60	ABCA8	FAM26E	0.783589765753306
61	ABCA8	hsa-mir-200c.MIMAT0000617	0.443011496239952
62	ABCA8	hsa-mir-22.MIMAT0000077	0.442047713717694
63	ABCA8	hsa-mir-31.MIMAT0000089	0.427154464517244
64	ABCA8	NEGR1	0.795813524649206
65	ABCA8	PCOLCE2	0.75487941913735
66	ABCA8	XG	0.75007491284179
67	ABCA8	ZEB1	0.752142219148875
68	ABCB1	hsa-mir-452.MIMAT0001636	0.412082577001758
69	ABCC10	MINK1	0.78422652490852
70	ABCC10	SNAPC4	0.775935690206587
71	ABCC10	SNRNP70	0.745652173913044
72	ABCC10	TOP3B	0.783382314806811
73	ABCC10	TRMT2A	0.727655804304607
74	ABCC11	hsa-mir-375.MIMAT0000728	0.425770017575705
75	ABCC6	hsa-mir-224.MIMAT0000281	0.509606131327974
76	ABCC6	hsa-mir-452.MIMAT0001635	0.440373699830005
77	ABCC9	AKAP12	0.760074336589161
78	ABCC9	ANGPT1	0.756299881868211
79	ABCC9	ANKRD40	0.756092430921716
80	ABCC9	ANO6	0.74453568444406
81	ABCC9	ANTXR2	0.785092344483822
82	ABCC9	ASPA	0.807560434494482
83	ABCC9	ATP2B4	0.731120523237387
84	ABCC9	BSPRY	0.751905955570922
85	ABCC9	C1orf172	0.764767914253609
86	ABCC9	C7orf58	0.813917941625609
