	from	to	weight
1	ABCA10	hsa-let-7c.MIMAT0000064	0.387296886601855
2	ABCA10	hsa-mir-204.MIMAT0000265	0.417199092860884
3	ABCA10	hsa-mir-99a.MIMAT0000097	0.431803399469301
4	ABCA6	hsa-let-7c.MIMAT0000064	0.402065238037679
5	ABCA6	hsa-mir-99a.MIMAT0000097	0.464300104182855
6	ABCA8	hsa-mir-204.MIMAT0000265	0.365442949813795
7	ABCA9	hsa-mir-99a.MIMAT0000097	0.363310367057496
8	ABCB1	hsa-mir-150.MIMAT0000451	0.395950970742461
9	ABCB1	hsa-mir-204.MIMAT0000265	0.459548560146892
10	ABCB1	hsa-mir-218.MIMAT0000275	0.440048810531102
11	ABCB1	hsa-mir-99a.MIMAT0000097	0.377690191270513
12	ABCC9	hsa-mir-337.MIMAT0000754	0.363916181727133
13	ABCD2	hsa-mir-150.MIMAT0000451	0.460918478354717
14	ABCD2	hsa-mir-150.MIMAT0004610	0.369769991884098
15	ABLIM2	hsa-mir-95.MIMAT0000094	0.510511819861512
16	ACAP1	BTLA	0.778287659799808
17	ACAP1	CCR5	0.795351199829624
18	ACAP1	CD2	0.843430724157184
19	ACAP1	CD247	0.881438759475747
20	ACAP1	CD27	0.804565050969016
21	ACAP1	CD3D	0.868841843518503
22	ACAP1	CD3E	0.852601405605153
23	ACAP1	CD3G	0.778463216544928
24	ACAP1	CD5	0.834890320203991
25	ACAP1	CD6	0.809228816632419
26	ACAP1	CXCR3	0.815046652046531
27	ACAP1	hsa-mir-142.MIMAT0000433	0.560038967841458
28	ACAP1	hsa-mir-146a.MIMAT0000449	0.461908503278019
29	ACAP1	hsa-mir-223.MIMAT0000280	0.394832875734604
30	ACAP1	hsa-mir-223.MIMAT0004570	0.367912256163193
31	ACAP1	IL2RB	0.779240270990543
32	ACAP1	IL2RG	0.854867814404863
33	ACAP1	ITK	0.7945324146823
34	ACAP1	LAT	0.813488226186159
35	ACAP1	LCK	0.878937795352639
36	ACAP1	LTB	0.775683088417284
37	ACAP1	MAP4K1	0.845461138643781
38	ACAP1	PRF1	0.816645369618898
39	ACAP1	PTPN7	0.826077947194834
40	ACAP1	PTPRCAP	0.862382218691901
41	ACAP1	S1PR4	0.834916222018845
42	ACAP1	SCML4	0.786127275762233
43	ACAP1	SEPT1	0.792997012657354
44	ACAP1	SIRPG	0.821796952795381
45	ACAP1	SIT1	0.840886590342652
46	ACAP1	SLA2	0.803929017515383
47	ACAP1	SLAMF1	0.848572234405668
48	ACAP1	SLAMF6	0.776821329281138
49	ACAP1	SNX20	0.808316497153678
50	ACAP1	SPOCK2	0.846678523941911
51	ACAP1	TBC1D10C	0.895997018413312
52	ACAP1	TBX21	0.847631135132646
53	ACAP1	TMC8	0.80609613602482
54	ACAP1	UBASH3A	0.836135046306689
55	ACAP1	ZAP70	0.825144042870382
56	ACTA2	TAGLN	0.780867768357192
57	ADAM12	COL1A2	0.79594981955069
58	ADAM12	COL3A1	0.8363811135478
59	ADAM12	COL5A2	0.789356368680677
60	ADAM12	COL6A3	0.824672054244156
61	ADAM12	DACT1	0.778929449212297
62	ADAM12	FAP	0.815756073975583
63	ADAM12	hsa-mir-127.MIMAT0004604	0.398696563116967
64	ADAM12	hsa-mir-134.MIMAT0000447	0.491265332435404
65	ADAM12	hsa-mir-199a.MIMAT0000231	0.404448205004231
66	ADAM12	hsa-mir-199a.MIMAT0000232	0.452602556796924
67	ADAM12	hsa-mir-199b.MIMAT0004563	0.451842770227878
68	ADAM12	hsa-mir-337.MIMAT0000754	0.399201648506616
69	ADAM12	hsa-mir-379.MIMAT0000733	0.393130550902822
70	ADAM12	hsa-mir-382.MIMAT0000737	0.42698278392706
71	ADAM12	hsa-mir-409.MIMAT0001639	0.405487155577812
72	ADAM12	hsa-mir-758.MIMAT0003879	0.425464649778683
73	ADAM12	HTRA1	0.779385608951667
74	ADAM12	POSTN	0.809354008737546
75	ADAM12	VCAN	0.80582272797914
76	ADAM33	hsa-let-7c.MIMAT0000064	0.410258845469773
77	ADAM6	hsa-mir-150.MIMAT0000451	0.390855508164828
78	ADAM6	LOC96610	0.805464419540329
79	ADAM6	TNFRSF17	0.812373009157731
80	ADAMDEC1	hsa-mir-155.MIMAT0000646	0.387869604508067
81	ADAMTS16	hsa-mir-134.MIMAT0000447	0.416793297761508
82	ADAMTS16	hsa-mir-199a.MIMAT0000231	0.449468437199611
83	ADAMTS16	hsa-mir-199b.MIMAT0000263	0.390592173047147
84	ADAMTS16	hsa-mir-214.MIMAT0004564	0.456605826181554
85	ADAMTS2	hsa-mir-134.MIMAT0000447	0.387830751785786
86	ADAMTS2	hsa-mir-199a.MIMAT0000232	0.376736141090063
87	ADAMTS2	hsa-mir-199b.MIMAT0004563	0.375953330685592
88	ADAMTS6	hsa-mir-134.MIMAT0000447	0.423100389678415
89	ADAMTS6	hsa-mir-199a.MIMAT0000231	0.410509229680026
90	ADAMTS6	hsa-mir-199b.MIMAT0000263	0.381191253244922
91	ADAMTS6	hsa-mir-214.MIMAT0004564	0.423714838286336
92	ADAMTS6	hsa-mir-337.MIMAT0000754	0.364296075011656
93	ADAMTS6	hsa-mir-382.MIMAT0000737	0.371522681355874
94	ADCY4	hsa-mir-218.MIMAT0000275	0.378980965044062
95	ADH1A	ADH1B	0.843718522100004
96	ADH1B	ADIPOQ	0.864149298060817
97	ADH1B	CIDEA	0.803543368272004
98	ADH1B	FABP4	0.835270213488514
99	ADH1B	TUSC5	0.850559479200843
100	ADIPOQ	AQP7	0.784945865206955
101	ADIPOQ	C14orf180	0.804242717273057
102	ADIPOQ	CIDEA	0.885886676682035
103	ADIPOQ	CIDEC	0.866922231239891
104	ADIPOQ	FABP4	0.885890993651177
105	ADIPOQ	PLIN1	0.782086592645036
106	ADIPOQ	TUSC5	0.941526652967485
107	AEBP1	hsa-mir-199a.MIMAT0000232	0.474514053173548
108	AEBP1	hsa-mir-199b.MIMAT0004563	0.474157183724451
109	AIF1	HCLS1	0.790893209695337
110	AIF1	LST1	0.82806231401058
111	AIF1	TNFAIP8L2	0.802651194649261
112	AIM2	hsa-mir-146a.MIMAT0000449	0.388420737568568
113	AIM2	hsa-mir-155.MIMAT0000646	0.528763965395175
114	AKAP12	hsa-mir-199b.MIMAT0000263	0.363757892858582
115	AKAP12	hsa-mir-337.MIMAT0000754	0.435887252277921
116	AKNA	hsa-mir-142.MIMAT0000433	0.365929328337161
117	AKNA	hsa-mir-150.MIMAT0000451	0.437003908296064
118	AMICA1	hsa-mir-150.MIMAT0000451	0.541684654038093
119	AMICA1	hsa-mir-223.MIMAT0000280	0.460341443479362
120	AMICA1	hsa-mir-511.MIMAT0002808	0.392104551236668
121	AMICA1	TMC8	0.785604922496014
122	ANGPTL2	hsa-mir-199a.MIMAT0000232	0.376072766831863
123	ANGPTL2	hsa-mir-199b.MIMAT0000263	0.385636292471781
124	ANGPTL2	hsa-mir-199b.MIMAT0004563	0.376582169190655
125	ANGPTL2	hsa-mir-337.MIMAT0000754	0.373518560089333
126	ANGPTL2	hsa-mir-485.MIMAT0002176	0.369749846028101
127	ANTXR1	hsa-mir-152.MIMAT0000438	0.375645386886775
128	ANTXR1	hsa-mir-199a.MIMAT0000232	0.402394766682208
129	ANTXR1	hsa-mir-199b.MIMAT0004563	0.401470935285755
