	from	to	weight
1	A2M	hsa-let-7c.MIMAT0000064	0.316216550684096
2	A2M	hsa-mir-100.MIMAT0000098	0.311424714936138
3	A2M	hsa-mir-125b-2.MIMAT0004603	0.296099474480956
4	A2M	hsa-mir-140.MIMAT0004597	0.25586963904382
5	A2M	hsa-mir-141.MIMAT0000432	0.25523792255933
6	A2M	hsa-mir-218.MIMAT0000275	0.274834084485964
7	A2M	hsa-mir-99a.MIMAT0000097	0.326210334248531
8	A2ML1	hsa-let-7a.MIMAT0000062	0.277431460919917
9	ABAT	hsa-mir-18a.MIMAT0002891	0.251755567451204
10	ABAT	hsa-mir-190b.MIMAT0004929	0.291097546234739
11	ABCA10	hsa-let-7c.MIMAT0000064	0.387296886601855
12	ABCA10	hsa-mir-125b-2.MIMAT0004603	0.340323945364438
13	ABCA10	hsa-mir-139.MIMAT0004552	0.243546131132255
14	ABCA10	hsa-mir-195.MIMAT0000461	0.250838931003321
15	ABCA10	hsa-mir-204.MIMAT0000265	0.417199092860884
16	ABCA10	hsa-mir-210.MIMAT0000267	0.264300679778741
17	ABCA10	hsa-mir-99a.MIMAT0000097	0.431803399469301
18	ABCA6	ABCA8	0.626890112989472
19	ABCA6	ABCA9	0.770276804061405
20	ABCA6	AKAP12	0.610135955748188
21	ABCA6	EBF3	0.628547829140117
22	ABCA6	hsa-let-7c.MIMAT0000064	0.402065238037679
23	ABCA6	hsa-mir-10b.MIMAT0000254	0.268183074027387
24	ABCA6	hsa-mir-204.MIMAT0000265	0.269029199979279
25	ABCA6	hsa-mir-210.MIMAT0000267	0.24639676975589
26	ABCA6	hsa-mir-218.MIMAT0000275	0.268047808994261
27	ABCA6	hsa-mir-411.MIMAT0003329	0.265686426873421
28	ABCA6	hsa-mir-99a.MIMAT0000097	0.464300104182855
29	ABCA6	IGF1	0.643612612457046
30	ABCA6	LAMA2	0.620493803710291
31	ABCA6	RUNX1T1	0.631749581253993
32	ABCA8	ABI3BP	0.684010809690732
33	ABCA8	C7	0.681573161115044
34	ABCA8	CHRDL1	0.66427506576183
35	ABCA8	FREM1	0.663415988902511
36	ABCA8	GDF10	0.75581351844497
37	ABCA8	hsa-let-7c.MIMAT0000064	0.32050186205269
38	ABCA8	hsa-mir-125b-2.MIMAT0004603	0.261393920556256
39	ABCA8	hsa-mir-139.MIMAT0000250	0.298908382402883
