	from	to	weight
1	A2M	CLEC1A	0.584904710101132
2	A2M	hsa-let-7c.MIMAT0000064	0.316216550684096
3	A2M	hsa-mir-100.MIMAT0000098	0.311424714936138
4	A2M	hsa-mir-125b-2.MIMAT0004603	0.296099474480956
5	A2M	hsa-mir-140.MIMAT0004597	0.25586963904382
6	A2M	hsa-mir-141.MIMAT0000432	0.25523792255933
7	A2M	hsa-mir-218.MIMAT0000275	0.274834084485964
8	A2M	hsa-mir-99a.MIMAT0000097	0.326210334248531
9	A2M	PLEKHG1	0.563403325793027
10	A2ML1	hsa-let-7a.MIMAT0000062	0.277431460919917
11	A2ML1	hsa-let-7b.MIMAT0000063	0.215941991446645
12	A2ML1	hsa-mir-190b.MIMAT0004929	0.216828409110532
13	AASS	hsa-mir-3200.MIMAT0015085	0.228364789648484
14	ABAT	hsa-mir-10a.MIMAT0000253	0.231248525035543
15	ABAT	hsa-mir-188.MIMAT0004613	0.240259478625247
16	ABAT	hsa-mir-18a.MIMAT0002891	0.251755567451204
17	ABAT	hsa-mir-190b.MIMAT0004929	0.291097546234739
18	ABAT	hsa-mir-199a.MIMAT0000231	0.223431932908544
19	ABCA10	hsa-let-7c.MIMAT0000064	0.387296886601855
20	ABCA10	hsa-mir-125b-2.MIMAT0004603	0.340323945364438
21	ABCA10	hsa-mir-139.MIMAT0000250	0.219359592017636
22	ABCA10	hsa-mir-139.MIMAT0004552	0.243546131132255
23	ABCA10	hsa-mir-140.MIMAT0004597	0.239039215347689
24	ABCA10	hsa-mir-195.MIMAT0000461	0.250838931003321
25	ABCA10	hsa-mir-204.MIMAT0000265	0.417199092860884
26	ABCA10	hsa-mir-210.MIMAT0000267	0.264300679778741
27	ABCA10	hsa-mir-410.MIMAT0002171	0.228333131874773
28	ABCA10	hsa-mir-99a.MIMAT0000097	0.431803399469301
29	ABCA6	ABCA8	0.626890112989472
30	ABCA6	ABCA9	0.770276804061405
31	ABCA6	ABI3BP	0.606167222116696
32	ABCA6	AKAP12	0.610135955748188
33	ABCA6	ANK2	0.569213966258569
34	ABCA6	EBF1	0.5633903748856
35	ABCA6	EBF3	0.628547829140117
36	ABCA6	hsa-mir-10b.MIMAT0000254	0.268183074027387
37	ABCA6	hsa-mir-204.MIMAT0000265	0.269029199979279
38	ABCA6	hsa-mir-210.MIMAT0000267	0.24639676975589
39	ABCA6	hsa-mir-411.MIMAT0003329	0.265686426873421
40	ABCA6	hsa-mir-99a.MIMAT0000097	0.464300104182855
41	ABCA6	IGF1	0.643612612457046
42	ABCA6	LAMA2	0.620493803710291
43	ABCA6	RHOJ	0.587781250539621
44	ABCA6	RUNX1T1	0.631749581253993
45	ABCA6	SPARCL1	0.595632378419759
46	ABCA6	SVEP1	0.570972411689201
47	ABCA6	TGFBR2	0.591816177697962
48	ABCA6	TSHZ2	0.563760195242124
49	ABCA8	ABCA9	0.603402922875907
50	ABCA8	ABI3BP	0.684010809690732
51	ABCA8	C7	0.681573161115044
52	ABCA8	CHRDL1	0.66427506576183
53	ABCA8	COL14A1	0.595875567681442
54	ABCA8	FREM1	0.663415988902511
55	ABCA8	GDF10	0.75581351844497
56	ABCA8	hsa-mir-125b-2.MIMAT0004603	0.261393920556256
57	ABCA8	hsa-mir-139.MIMAT0004552	0.267391629684631
58	ABCA8	hsa-mir-202.MIMAT0002810	0.241960364467315
59	ABCA8	hsa-mir-204.MIMAT0000265	0.365442949813795
60	ABCA8	hsa-mir-210.MIMAT0000267	0.298922772300024
61	ABCA8	hsa-mir-218.MIMAT0000275	0.355892375081303
62	ABCA8	hsa-mir-335.MIMAT0000765	0.220340983002654
63	ABCA8	hsa-mir-495.MIMAT0002817	0.235125163325333
64	ABCA8	hsa-mir-542.MIMAT0003389	0.253905418084072
65	ABCA8	IGF1	0.654055360812281
66	ABCA8	ITM2A	0.61999879124864
67	ABCA8	PGM5	0.562265084929173
68	ABCA8	TMEM100	0.706736774245538
69	ABCA8	TNXB	0.67955425854616
70	ABCA9	hsa-mir-10b.MIMAT0000254	0.264912250407234
71	ABCA9	hsa-mir-204.MIMAT0000265	0.291419879930698
72	ABCA9	hsa-mir-337.MIMAT0000754	0.214723167158801
73	ABCA9	hsa-mir-411.MIMAT0003329	0.244480035456707
74	ABCA9	IGF1	0.570160821490448
75	ABCB1	C7	0.58450754894004
76	ABCB1	DARC	0.57379283152884
77	ABCB1	FREM1	0.613980936264268
78	ABCB1	hsa-let-7c.MIMAT0000064	0.361947643798242
79	ABCB1	hsa-mir-1247.MIMAT0005899	0.220136646463251
80	ABCB1	hsa-mir-139.MIMAT0004552	0.278838792860309
81	ABCB1	hsa-mir-140.MIMAT0004597	0.213252519670989
82	ABCB1	hsa-mir-150.MIMAT0000451	0.395950970742461
83	ABCB1	hsa-mir-150.MIMAT0004610	0.330815101333656
84	ABCB1	hsa-mir-193b.MIMAT0002819	0.22547961527171
85	ABCB1	hsa-mir-193b.MIMAT0004767	0.249332308772657
86	ABCB1	hsa-mir-204.MIMAT0000265	0.459548560146892
87	ABCB1	hsa-mir-210.MIMAT0000267	0.336880442978594
88	ABCB1	hsa-mir-218-1.MIMAT0004565	0.285548801897164
89	ABCB1	hsa-mir-218.MIMAT0000275	0.440048810531102
90	ABCB1	hsa-mir-223.MIMAT0000280	0.288377855675088
91	ABCB1	hsa-mir-223.MIMAT0004570	0.242482717733534
92	ABCB1	hsa-mir-542.MIMAT0003389	0.217195351487628
93	ABCB1	hsa-mir-99a.MIMAT0000097	0.377690191270513
94	ABCB1	ITM2A	0.764362556336447
95	ABCB1	SELP	0.653950314563151
96	ABCB4	hsa-mir-127.MIMAT0004604	0.214265568429717
97	ABCB5	hsa-let-7c.MIMAT0000064	0.213521610747526
98	ABCB5	hsa-mir-139.MIMAT0000250	0.259278605676527
99	ABCB5	hsa-mir-139.MIMAT0004552	0.260606793182642
