Regulon	Size	NES	p.value	FDR	Ledge
hsa-mir-301a.MIMAT0000688	hsa-mir-301a.MIMAT0000688	68	3.02	0.00255	0.0418	CCT3, H2AFZ, TPX2, UBE2T, + 55 genes
hsa-mir-1307.MIMAT0005951	hsa-mir-1307.MIMAT0005951	99	2.95	0.00318	0.0463	SPC25, SKA3, H2AFZ, CCNB1, + 87 genes
hsa-mir-493.MIMAT0002813	hsa-mir-493.MIMAT0002813	307	2.75	0.006	0.0518	H2AFZ, ADAMTS5, CCNB1, CCNB2, + 178 genes
hsa-mir-130b.MIMAT0000691	hsa-mir-130b.MIMAT0000691	114	2.74	0.00612	0.0518	SPC25, SKA3, TUBA1C, CCNB1, + 101 genes
hsa-mir-210.MIMAT0000267	hsa-mir-210.MIMAT0000267	100	2.74	0.00615	0.0518	ABCA10, ITM2A, CAPN11, ADCY4, + 80 genes
hsa-mir-1301.MIMAT0005797	hsa-mir-1301.MIMAT0005797	33	2.67	0.00754	0.0598	hsa-mir-148b.MIMAT0000759, H2AFZ, C2orf40, CLSPN, + 23 genes
hsa-mir-3200.MIMAT0015085	hsa-mir-3200.MIMAT0015085	58	2.62	0.00875	0.0609	H2AFZ, CLCN6, MTHFD2, CENPL, + 46 genes
hsa-mir-93.MIMAT0004509	hsa-mir-93.MIMAT0004509	71	2.39	0.0166	0.0837	UBE2T, KIF11, ILF2, PCDHGB7, + 57 genes
hsa-mir-93.MIMAT0000093	hsa-mir-93.MIMAT0000093	79	2.38	0.0173	0.0837	SPC25, SKA3, CCNB1, CCNB2, + 45 genes
hsa-mir-200c.MIMAT0000617	hsa-mir-200c.MIMAT0000617	52	2.3	0.0213	0.092	hsa-mir-141.MIMAT0000432, CTHRC1, hsa-mir-200c.MIMAT0004657, SRPX, + 34 genes
hsa-mir-141.MIMAT0000432	hsa-mir-141.MIMAT0000432	180	2.26	0.0241	0.0988	JAM2, RHOJ, LHFP, TSHZ2, + 151 genes
hsa-mir-937.MIMAT0004980	hsa-mir-937.MIMAT0004980	49	2.2	0.0279	0.104	HMMR, KIF4A, PLK1, CENPE, + 43 genes
hsa-mir-106b.MIMAT0000680	hsa-mir-106b.MIMAT0000680	79	2.09	0.0368	0.125	SKA3, CCNB1, CCNB2, KIF20A, + 48 genes
hsa-mir-17.MIMAT0000070	hsa-mir-17.MIMAT0000070	103	1.98	0.048	0.148	SKA3, CCNB1, CCNB2, TPX2, + 61 genes
hsa-mir-15b.MIMAT0004586	hsa-mir-15b.MIMAT0004586	33	1.93	0.054	0.163	TPX2, UBE2T, PRC1, MTHFD2, + 19 genes
hsa-mir-942.MIMAT0004985	hsa-mir-942.MIMAT0004985	107	1.89	0.0581	0.172	CCNB2, TPX2, KIF23, PRC1, + 67 genes
hsa-mir-3127.MIMAT0014990	hsa-mir-3127.MIMAT0014990	37	1.68	0.0924	0.224	ANXA1, FBLN5, PNMAL2, MSI2, + 17 genes
hsa-mir-9.MIMAT0000441	hsa-mir-9.MIMAT0000441	38	1.66	0.0979	0.234	CCNB2, UBE2T, PRC1, PCNA, + 22 genes
hsa-mir-18a.MIMAT0000072	hsa-mir-18a.MIMAT0000072	110	1.52	0.128	0.285	SKA3, H2AFZ, CCNB2, TPX2, + 61 genes
hsa-mir-590.MIMAT0003258	hsa-mir-590.MIMAT0003258	39	1.5	0.134	0.29	hsa-mir-10b.MIMAT0000254, hsa-mir-590.MIMAT0004801, hsa-mir-100.MIMAT0000098, hsa-mir-10b.MIMAT0004556, + 17 genes
hsa-mir-542.MIMAT0003389	hsa-mir-542.MIMAT0003389	47	1.42	0.155	0.325	PEAR1, KL, MAB21L1, SHE, + 10 genes
hsa-mir-423.MIMAT0001340	hsa-mir-423.MIMAT0001340	31	1.35	0.178	0.361	NOD1, WASF2, PPP1R16B, MFNG, + 15 genes
