	V2	V3	ensg752[, "target"]
ADAMTS17	ADAMTS17	170691	ENSG00000140470
ADAMTS19	ADAMTS19	171019	ENSG00000145808
ADAR	ADAR	103	ENSG00000160710
ADNP	ADNP	23394	ENSG00000101126
ADNP2	ADNP2	22850	ENSG00000101544
AEBP2	AEBP2	121536	ENSG00000139154
AFF1	AFF1	4299	ENSG00000172493
AFF3	AFF3	3899	ENSG00000144218
AFF4	AFF4	27125	ENSG00000072364
AHCTF1	AHCTF1	25909	ENSG00000153207
AHDC1	AHDC1	27245	ENSG00000126705
AHR	AHR	196	ENSG00000106546
AKAP8	AKAP8	10270	ENSG00000105127
AKAP8L	AKAP8L	26993	ENSG00000011243
AKNA	AKNA	80709	ENSG00000106948
ALX3	ALX3	257	ENSG00000156150
ANAPC2	ANAPC2	29882	ENSG00000176248
ANKZF1	ANKZF1	55139	ENSG00000163516
APTX	APTX	54840	ENSG00000137074
AR	AR	367	ENSG00000169083
ARID2	ARID2	196528	ENSG00000189079
ARID3A	ARID3A	1820	ENSG00000116017
ARID5B	ARID5B	84159	ENSG00000150347
ARNT	ARNT	405	ENSG00000143437
ARNT2	ARNT2	9915	ENSG00000172379
ARNTL	ARNTL	406	ENSG00000133794
ARNTL2	ARNTL2	56938	ENSG00000029153
ARX	ARX	170302	ENSG00000004848
ASCL1	ASCL1	429	ENSG00000139352
ASCL2	ASCL2	430	ENSG00000183734
ASH1L	ASH1L	55870	ENSG00000116539
ATF1	ATF1	466	ENSG00000123268
ATF2	ATF2	1386	ENSG00000115966
ATF3	ATF3	467	ENSG00000162772
ATF4	ATF4	468	ENSG00000128272
ATF5	ATF5	22809	ENSG00000169136
ATF6	ATF6	22926	ENSG00000118217
ATF6B	ATF6B	1388	ENSG00000213676
ATF7	ATF7	11016	ENSG00000170653
ATMIN	ATMIN	23300	ENSG00000166454
ATOH8	ATOH8	84913	ENSG00000168874
ATXN7	ATXN7	6314	ENSG00000163635
BACH1	BACH1	571	ENSG00000156273
BACH2	BACH2	60468	ENSG00000112182
