from	to	weight
ABAT	hsa-mir-196a.MIMAT0000226	0.33126
ABCA1	hsa-mir-141.MIMAT0000432	0.288184
ABCA1	hsa-mir-200a.MIMAT0000682	0.331373
ABCA1	hsa-mir-200b.MIMAT0000318	0.3241
ABCA1	hsa-mir-215.MIMAT0000272	0.297677
ABCA1	hsa-mir-224.MIMAT0000281	0.29062
ABCA1	hsa-mir-224.MIMAT0009198	0.288059
ABCA1	hsa-mir-22.MIMAT0000077	0.299368
ABCA1	hsa-mir-378a.MIMAT0000731	0.331875
ABCA1	hsa-mir-378a.MIMAT0000732	0.290972
ABCA1	hsa-mir-429.MIMAT0001536	0.286911
ABCA1	hsa-mir-452.MIMAT0001635	0.293168
ABCA1	hsa-mir-652.MIMAT0003322	0.300649
ABCA13	hsa-mir-200a.MIMAT0001620	0.290039
ABCA8	hsa-mir-141.MIMAT0000432	0.320585
ABCA8	hsa-mir-141.MIMAT0004598	0.319986
ABCA8	hsa-mir-200a.MIMAT0000682	0.344792
ABCA8	hsa-mir-200a.MIMAT0001620	0.305563
ABCA8	hsa-mir-200b.MIMAT0000318	0.31833
ABCA8	hsa-mir-200c.MIMAT0000617	0.307512
ABCA8	hsa-mir-215.MIMAT0000272	0.28606
ABCA8	hsa-mir-224.MIMAT0000281	0.301312
ABCA8	hsa-mir-22.MIMAT0000077	0.306843
ABCA8	hsa-mir-31.MIMAT0000089	0.296505
ABCA8	hsa-mir-452.MIMAT0001635	0.330053
ABCA8	hsa-mir-652.MIMAT0003322	0.28914
ABCB1	hsa-mir-452.MIMAT0001636	0.286043
ABCC11	hsa-mir-375.MIMAT0000728	0.295544
ABCC6	hsa-mir-224.MIMAT0000281	0.353738
ABCC6	hsa-mir-452.MIMAT0001635	0.305681
ABCC9	hsa-mir-141.MIMAT0000432	0.378192
ABCC9	hsa-mir-141.MIMAT0004598	0.346358
ABCC9	hsa-mir-193b.MIMAT0002819	0.326418
ABCC9	hsa-mir-193b.MIMAT0004767	0.30412
ABCC9	hsa-mir-200a.MIMAT0000682	0.396208
ABCC9	hsa-mir-200a.MIMAT0001620	0.323649
ABCC9	hsa-mir-200b.MIMAT0000318	0.365456
ABCC9	hsa-mir-200b.MIMAT0004571	0.32664
ABCC9	hsa-mir-200c.MIMAT0000617	0.332872
ABCC9	hsa-mir-200c.MIMAT0004657	0.305456
ABCC9	hsa-mir-205.MIMAT0000266	0.305128
ABCC9	hsa-mir-215.MIMAT0000272	0.317553
ABCC9	hsa-mir-224.MIMAT0000281	0.316191
ABCC9	hsa-mir-22.MIMAT0000077	0.345642
ABCC9	hsa-mir-342.MIMAT0000753	0.31604
ABCC9	hsa-mir-342.MIMAT0004694	0.288618
ABCC9	hsa-mir-378a.MIMAT0000731	0.373254
ABCC9	hsa-mir-378a.MIMAT0000732	0.328325
ABCC9	hsa-mir-429.MIMAT0001536	0.34466
ABCC9	hsa-mir-452.MIMAT0001635	0.337311
ABCC9	hsa-mir-652.MIMAT0003322	0.323756
ABCD1	hsa-mir-193b.MIMAT0004767	0.353721
ABCD1	hsa-mir-224.MIMAT0000281	0.292038
ABCD1	hsa-mir-652.MIMAT0003322	0.315131
ABCD2	hsa-mir-193a.MIMAT0004614	0.310025
ABCD2	hsa-mir-215.MIMAT0000272	0.327773
