from	to	weight
ABCA10	hsa-mir-410.MIMAT0002171	0.228333131874773
ABCA6	hsa-mir-411.MIMAT0003329	0.265686426873421
ABCA8	hsa-mir-337.MIMAT0000754	0.254973148451935
ABCA8	hsa-mir-495.MIMAT0002817	0.235125163325333
ABCA9	hsa-mir-337.MIMAT0000754	0.214723167158801
ABCA9	hsa-mir-411.MIMAT0003329	0.244480035456707
ABCB1	hsa-mir-1247.MIMAT0005899	0.220136646463251
ABCB4	hsa-mir-127.MIMAT0004604	0.214265568429717
ABCC8	hsa-mir-342.MIMAT0004694	0.215121767309607
ABCC9	hsa-mir-337.MIMAT0000754	0.363916181727133
ABCC9	hsa-mir-376c.MIMAT0000720	0.241134384371421
ABCC9	hsa-mir-377.MIMAT0004689	0.272841083731933
ABCC9	hsa-mir-381.MIMAT0000736	0.239391767827644
ABCC9	hsa-mir-410.MIMAT0002171	0.224968773923204
ABCC9	hsa-mir-411.MIMAT0003329	0.261408310453397
ABCC9	hsa-mir-431.MIMAT0004757	0.288598021101345
ABCC9	hsa-mir-432.MIMAT0002814	0.260670108730063
ABCC9	hsa-mir-495.MIMAT0002817	0.271648161258943
ABCC9	hsa-mir-655.MIMAT0003331	0.22592858006251
ABCC9	hsa-mir-758.MIMAT0003879	0.319523349047101
ABCC9	hsa-mir-889.MIMAT0004921	0.232851559577052
ABCG2	hsa-mir-411.MIMAT0003329	0.236496520522871
ABHD4	hsa-mir-127.MIMAT0004604	0.218808458957135
ABHD4	hsa-mir-370.MIMAT0000722	0.214094328653739
ABI3BP	hsa-mir-411.MIMAT0003329	0.213359004909833
ACBD7	hsa-mir-493.MIMAT0002813	0.239738564348742
ACE2	hsa-mir-342.MIMAT0004694	0.225217719143744
ACTA2	hsa-mir-136.MIMAT0004606	0.224840703838649
ACTA2	hsa-mir-377.MIMAT0004689	0.228406520350193
ACTA2	hsa-mir-485.MIMAT0002176	0.231591004587499
ACTA2	hsa-mir-758.MIMAT0003879	0.279326610373389
ACVR1	hsa-mir-127.MIMAT0004604	0.276992569057116
ACVR1	hsa-mir-134.MIMAT0000447	0.270455238785953
ACVR1	hsa-mir-154.MIMAT0000452	0.219965406687273
ACVR1	hsa-mir-337.MIMAT0000754	0.26153925851738
ACVR1	hsa-mir-409.MIMAT0001638	0.22559185646941
ACVR1	hsa-mir-493.MIMAT0002813	0.257078390403665
ACVR1	hsa-mir-654.MIMAT0004814	0.223233352327998
ACVRL1	hsa-mir-381.MIMAT0000736	0.215334737787294
ACVRL1	hsa-mir-411.MIMAT0003329	0.227769047906846
ACVRL1	hsa-mir-432.MIMAT0002814	0.217616975473859
ACVRL1	hsa-mir-485.MIMAT0002176	0.229501591522624
ADAM12	hsa-mir-127.MIMAT0004604	0.398696563116967
ADAM12	hsa-mir-134.MIMAT0000447	0.491265332435404
ADAM12	hsa-mir-154.MIMAT0000452	0.308102087686277
ADAM12	hsa-mir-299.MIMAT0002890	0.214597975053674
ADAM12	hsa-mir-323a.MIMAT0000755	0.332644057260279
ADAM12	hsa-mir-337.MIMAT0000754	0.399201648506616
ADAM12	hsa-mir-369.MIMAT0000721	0.316052505856688
ADAM12	hsa-mir-376c.MIMAT0000720	0.253745690225806
ADAM12	hsa-mir-377.MIMAT0004689	0.254567353352558
ADAM12	hsa-mir-379.MIMAT0000733	0.393130550902822
ADAM12	hsa-mir-382.MIMAT0000737	0.42698278392706
ADAM12	hsa-mir-409.MIMAT0001639	0.405487155577812
ADAM12	hsa-mir-411.MIMAT0003329	0.346043929477992
ADAM12	hsa-mir-485.MIMAT0002176	0.340342652230722
ADAM12	hsa-mir-493.MIMAT0003161	0.35701766503773
ADAM12	hsa-mir-655.MIMAT0003331	0.252505281092251
ADAM12	hsa-mir-758.MIMAT0003879	0.425464649778683
ADAM23	hsa-mir-134.MIMAT0000447	0.218356616186907
ADAM23	hsa-mir-337.MIMAT0000754	0.229454104862058
ADAM23	hsa-mir-379.MIMAT0000733	0.233438667380406
ADAM23	hsa-mir-409.MIMAT0001638	0.237676492088435
ADAM23	hsa-mir-411.MIMAT0004813	0.2235499300651
ADAM33	hsa-mir-134.MIMAT0000447	0.244180725596173
ADAM33	hsa-mir-337.MIMAT0000754	0.300866847403775
ADAM33	hsa-mir-369.MIMAT0001621	0.289424001197239
ADAM33	hsa-mir-379.MIMAT0000733	0.262645841607524
ADAM33	hsa-mir-382.MIMAT0000737	0.262864568044068
ADAM33	hsa-mir-409.MIMAT0001638	0.21357917033609
ADAM33	hsa-mir-410.MIMAT0002171	0.221046087962563
ADAM33	hsa-mir-411.MIMAT0003329	0.312754341431967
ADAM33	hsa-mir-411.MIMAT0004813	0.247844393408276
ADAM33	hsa-mir-495.MIMAT0002817	0.273150466520465
ADAM33	hsa-mir-889.MIMAT0004921	0.231909021314316
ADAMTS12	hsa-mir-377.MIMAT0004689	0.217234204209908
ADAMTS12	hsa-mir-410.MIMAT0002171	0.236778562506835
ADAMTS12	hsa-mir-493.MIMAT0002813	0.263702060057675
ADAMTS12	hsa-mir-654.MIMAT0003330	0.235450375000719
ADAMTS12	hsa-mir-758.MIMAT0003879	0.332835442892254
ADAMTS14	hsa-mir-154.MIMAT0000452	0.215674339359822
ADAMTS15	hsa-mir-342.MIMAT0004694	0.220628780945474
ADAMTS16	hsa-mir-376c.MIMAT0000720	0.264755400528397
ADAMTS16	hsa-mir-382.MIMAT0000737	0.354735427351165
ADAMTS16	hsa-mir-409.MIMAT0001639	0.348395238670834
ADAMTS16	hsa-mir-493.MIMAT0003161	0.289081521645283
ADAMTS2	hsa-mir-299.MIMAT0002890	0.24696517069296
ADAMTS2	hsa-mir-376c.MIMAT0000720	0.25017555674512
ADAMTS2	hsa-mir-377.MIMAT0004689	0.248081826711103
ADAMTS2	hsa-mir-409.MIMAT0001638	0.296585853004323
ADAMTS2	hsa-mir-485.MIMAT0002176	0.359042323565471
ADAMTS2	hsa-mir-654.MIMAT0003330	0.214278519337144
ADAMTS5	hsa-mir-127.MIMAT0000446	0.225512712035134
ADAMTS5	hsa-mir-134.MIMAT0000447	0.280177053294423
ADAMTS5	hsa-mir-154.MIMAT0000452	0.236220234497764
ADAMTS5	hsa-mir-337.MIMAT0000754	0.322810001554109
ADAMTS5	hsa-mir-377.MIMAT0004689	0.256327237772904
ADAMTS5	hsa-mir-379.MIMAT0000733	0.271871204664629
ADAMTS5	hsa-mir-382.MIMAT0000737	0.263083294480611
ADAMTS5	hsa-mir-409.MIMAT0001638	0.268128392418251
ADAMTS5	hsa-mir-409.MIMAT0001639	0.244126043987038
ADAMTS5	hsa-mir-411.MIMAT0003329	0.249168263945249
ADAMTS5	hsa-mir-432.MIMAT0002814	0.246743566276988
ADAMTS5	hsa-mir-485.MIMAT0002176	0.24894378154985
ADAMTS5	hsa-mir-495.MIMAT0002817	0.227098478700074
ADAMTS5	hsa-mir-655.MIMAT0003331	0.251633253325505
ADAMTS5	hsa-mir-758.MIMAT0003879	0.304042697702797
ADAMTS6	hsa-mir-127.MIMAT0004604	0.341167193336902
ADAMTS6	hsa-mir-136.MIMAT0000448	0.261716254252215
ADAMTS6	hsa-mir-337.MIMAT0000754	0.364296075011656
ADAMTS6	hsa-mir-369.MIMAT0000721	0.279014349605429
ADAMTS6	hsa-mir-376c.MIMAT0000720	0.214831091387359
ADAMTS6	hsa-mir-382.MIMAT0000737	0.371522681355874
ADAMTS6	hsa-mir-409.MIMAT0001639	0.362785135811849
ADAMTS6	hsa-mir-493.MIMAT0002813	0.357937179465041
ADAMTS6	hsa-mir-493.MIMAT0003161	0.311441982812707
ADAMTS6	hsa-mir-889.MIMAT0004921	0.267010297410394
ADAMTSL5	hsa-mir-127.MIMAT0000446	0.229149039042669
ADAMTSL5	hsa-mir-379.MIMAT0000733	0.239771661112166
ADAMTSL5	hsa-mir-382.MIMAT0000737	0.298350054393811
ADAMTSL5	hsa-mir-409.MIMAT0001639	0.227720122256566
ADAMTSL5	hsa-mir-410.MIMAT0002171	0.229392228304352
ADAMTSL5	hsa-mir-431.MIMAT0004757	0.23081251115217
ADAMTSL5	hsa-mir-758.MIMAT0003879	0.213594999222946
ADCY1	hsa-mir-342.MIMAT0004694	0.227248133630341
ADRA2A	hsa-mir-382.MIMAT0000737	0.241088336700569
AEBP1	hsa-mir-299.MIMAT0002890	0.232844364628482
AEBP1	hsa-mir-369.MIMAT0001621	0.218264520845205
AEBP1	hsa-mir-376c.MIMAT0000720	0.234043043060328
AEBP1	hsa-mir-485.MIMAT0002176	0.301042404148895
AG2	hsa-mir-127.MIMAT0000446	0.231388107037811
AG2	hsa-mir-136.MIMAT0004606	0.215008087122193
AG2	hsa-mir-381.MIMAT0000736	0.247520620722603
AGBL5	hsa-mir-379.MIMAT0000733	0.215580805028406
AGTR1	hsa-mir-369.MIMAT0001621	0.230133308007114
AGTR1	hsa-mir-411.MIMAT0003329	0.24591614719138
AHNAK	hsa-mir-410.MIMAT0002171	0.231838510818325
AKAP12	hsa-mir-127.MIMAT0000446	0.312240622104033
AKAP12	hsa-mir-134.MIMAT0000447	0.342073756856786
AKAP12	hsa-mir-337.MIMAT0000754	0.435887252277921
AKAP12	hsa-mir-369.MIMAT0001621	0.357443605993104
AKAP12	hsa-mir-376c.MIMAT0000720	0.235234526543604
AKAP12	hsa-mir-377.MIMAT0004689	0.217688924959564
AKAP12	hsa-mir-379.MIMAT0000733	0.344787691457581
AKAP12	hsa-mir-381.MIMAT0000736	0.279820183845326
AKAP12	hsa-mir-410.MIMAT0002171	0.289183689914984
AKAP12	hsa-mir-411.MIMAT0003329	0.339846200779357
AKAP12	hsa-mir-411.MIMAT0004813	0.288199420950539
AKAP12	hsa-mir-431.MIMAT0004757	0.252685154806513
AKAP12	hsa-mir-432.MIMAT0002814	0.248323576983072
AKAP12	hsa-mir-654.MIMAT0003330	0.269141441176978
AKAP12	hsa-mir-758.MIMAT0003879	0.298324152578957
AKT3	hsa-mir-337.MIMAT0000754	0.231496031266369
ALDH1A2	hsa-mir-1247.MIMAT0005899	0.213207910989852
ALDH1A2	hsa-mir-409.MIMAT0001638	0.22017837716496
ALDH1A2	hsa-mir-411.MIMAT0003329	0.227358935838327
ALDH1L2	hsa-mir-127.MIMAT0004604	0.257176241704224
ALDH1L2	hsa-mir-134.MIMAT0000447	0.274255610620895
ALDH1L2	hsa-mir-337.MIMAT0000754	0.264758278507825
AMOTL1	hsa-mir-337.MIMAT0000754	0.244254114071593
AMOTL1	hsa-mir-410.MIMAT0002171	0.236417376088596
AMOTL1	hsa-mir-758.MIMAT0003879	0.215032549947333
AMPD3	hsa-mir-345.MIMAT0000772	0.215559220182694
AMPH	hsa-mir-127.MIMAT0000446	0.24234457472098
AMPH	hsa-mir-127.MIMAT0004604	0.25303482930704
AMPH	hsa-mir-134.MIMAT0000447	0.323286307149476
AMPH	hsa-mir-323a.MIMAT0000755	0.235499300650999
AMPH	hsa-mir-337.MIMAT0000754	0.330727322961095
AMPH	hsa-mir-376c.MIMAT0000720	0.242043825870733
AMPH	hsa-mir-379.MIMAT0000733	0.266477871216177
AMPH	hsa-mir-382.MIMAT0000737	0.25648696563117
AMPH	hsa-mir-409.MIMAT0001638	0.306044332395112
AMPH	hsa-mir-410.MIMAT0002171	0.214570634249106
AMPH	hsa-mir-411.MIMAT0003329	0.263851714987941
AMPH	hsa-mir-431.MIMAT0004757	0.241843806300473
AMPH	hsa-mir-654.MIMAT0003330	0.232746513327923
AMPH	hsa-mir-758.MIMAT0003879	0.280853378460051
ANGPTL1	hsa-mir-337.MIMAT0000754	0.255692643308986
ANGPTL1	hsa-mir-410.MIMAT0002171	0.212733044384199
ANGPTL1	hsa-mir-495.MIMAT0002817	0.230667173191046
ANGPTL2	hsa-mir-154.MIMAT0000452	0.299050842384579
ANGPTL2	hsa-mir-337.MIMAT0000754	0.373518560089333
ANGPTL2	hsa-mir-376a-1.MIMAT0003386	0.232511958004524
ANGPTL2	hsa-mir-376c.MIMAT0000720	0.264572648834706
ANGPTL2	hsa-mir-377.MIMAT0004689	0.29136088135242
ANGPTL2	hsa-mir-379.MIMAT0000733	0.293784140030967
ANGPTL2	hsa-mir-409.MIMAT0001638	0.282260710400442
ANGPTL2	hsa-mir-431.MIMAT0004757	0.239236356938521
ANGPTL2	hsa-mir-485.MIMAT0002176	0.369749846028101
ANGPTL2	hsa-mir-654.MIMAT0003330	0.256219313544347
ANGPTL2	hsa-mir-655.MIMAT0003331	0.236404425181169
ANGPTL2	hsa-mir-889.MIMAT0004921	0.222326788808114
ANK2	hsa-mir-337.MIMAT0000754	0.238846390725999
ANK2	hsa-mir-411.MIMAT0003329	0.216455710774579
ANK2	hsa-mir-495.MIMAT0002817	0.238830561839144
ANKRD42	hsa-mir-342.MIMAT0000753	0.230982311938434
ANKRD42	hsa-mir-342.MIMAT0004694	0.246281650578762
ANKRD42	hsa-mir-382.MIMAT0000737	0.215387980406716
ANKRD50	hsa-mir-134.MIMAT0000447	0.212758946199053
ANO6	hsa-mir-431.MIMAT0004757	0.23709945721308
ANP32E	hsa-mir-134.MIMAT0000447	0.221758387871043
ANP32E	hsa-mir-337.MIMAT0000754	0.224478078430695
ANP32E	hsa-mir-382.MIMAT0000737	0.217120524022494
ANP32E	hsa-mir-493.MIMAT0002813	0.249915099606868
ANTXR1	hsa-mir-376c.MIMAT0000720	0.227741707102278
ANTXR1	hsa-mir-377.MIMAT0004689	0.231144917776128
ANTXR1	hsa-mir-493.MIMAT0003161	0.269263755302677
AOC3	hsa-mir-337.MIMAT0000754	0.299164522571993
AOC3	hsa-mir-381.MIMAT0000736	0.23508918858248
AOC3	hsa-mir-411.MIMAT0003329	0.218307690536628
AOC3	hsa-mir-432.MIMAT0002814	0.254607645064553
AOC3	hsa-mir-485.MIMAT0002176	0.220326593105512
AOC3	hsa-mir-487b.MIMAT0003180	0.239611933253901
AOC3	hsa-mir-495.MIMAT0002817	0.24141498736567
