gene_symbol	chromosome_name
ANKRD57	2
ACN9	7
AG2	7
AMICA1	11
BAT2L2	1
BTBD12	16
C10orf32	10
C11orf41	11
C11orf75	11
C11orf93	11
C11orf83	11
C12orf35	12
C12orf48	12
C12orf23	12
C12orf24	12
C13orf18	13
C13orf27	13
C12orf72	12
C13orf37	13
C13orf34	13
C14orf45	14
C15orf23	15
C15orf38	15
C14orf64	14
C15orf42	15
C17orf103	17
C16orf75	16
C17orf42	17
C17orf44	17
C17orf91	17
C17orf87	17
C19orf36	19
C18orf10	18
C19orf76	19
C1orf192	1
C1orf203	1
C1orf38	1
C20orf114	20
C20orf20	20
C20orf26	20
C20orf118	20
C21orf45	21
C21orf63	21
C22orf26	21
C2orf77	2
C3orf37	3
C3orf1	3
C3orf54	3
C4orf7	4
C5orf20	5
C5orf39	5
C6orf105	6
C6orf115	6
C6orf153	6
C6orf211	6
C6orf225	6
C6orf174	6
C6orf97	6
C7orf63	7
C7orf42	7
C8orf47	8
C8orf80	8
C9orf46	9
C9orf98	9
C9orf30	9
CCDC48	3
CCDC55	17
CD97	19
COX4NB	16
CSDA	12
CSDAP1	16
CTSL2	9
CYP2B7P1	19
D4S234E	4
DARC	1
DDX39	19
EFHA1	13
EFHA2	8
EIF2C2	8
EIF2C4	1
EMR2	19
FAM123B	0
FAM18A	16
FAM22D	10
FAM40B	7
FAM70A	0
FAM70B	13
FLJ40330	2
FLJ42627	16
FLJ36031	7
FLJ44606	5
GGTA1	9
GLT25D2	1
GPR128	3
GPR56	16
GPR77	19
GPR81	12
GRRP1	1
GVIN1	11
HCG26	6
KIAA1737	14
LOC96610	22
KCNA6	12
LPHN2	1
LPHN3	4
MOBKL2B	9
MLF1IP	4
PPIL5	14
SEPT4	17
SIGLECP3	19
KIAA1949	6
TMSL3	4
TMEM149	19
LEPREL1	3
LST-3TM12	12
ZNF259	11
LOC728264	5
ZNF826	19
LOC654342	2
IGJ	4
LOC400759	16
LOC606724	1
LOC100233209	12
MCART6	0
MGC29506	5
SEPT1	16
TARP	7
LOC388692	1
KIAA0748	12
KIAA1045	9
LRRC33	3
SRPR	11
LOC283663	15
OBFC2A	2
MARCH1	4
LOC100129034	9
AGRN	1
AHCTF1	1
AIM2	1
AKT3	1
ANXA9	1
APH1A	1
ARF1	1
ARHGAP30	1
ASTN1	1
ATAD3A	1
ATAD3B	1
ATF3	1
ATP1A2	1
AURKAIP1	1
BMP8A	1
BTBD8	1
BTG2	1
C1orf159	1
C1orf162	1
C1orf168	1
C1orf21	1
C1orf27	1
C1orf35	1
C1orf95	1
C1QC	1
CAPN2	1
CD160	1
CD1D	1
CD2	1
CD244	1
CD247	1
CD46	1
CD48	1
CD52	1
CD53	1
CD55	1
CDC14A	1
CDC42BPA	1
CDC73	1
CDK11A	1
CDKN2C	1
CEP350	1
