chromosome	start	end	entrezid
HG991_PATCH	66119285	66465398	115286
13	24553949	24609166	221178
HG706_PATCH	75610476	75660403	685
HG185_PATCH	39868578	39872221	2520
13	27829201	27829272	26771
13	27829538	27829663	619499
HG185_PATCH	39873994	39890896	9001
13	103532449	103548383	121952
13	30914407	30951282	100188949
HG185_PATCH	39910856	39943183	3728
HG185_PATCH	39958199	39968855	10609
HG185_PATCH	39968962	39979465	60681
21	22114908	22175534	387486
13	114451484	114454062	100130386
HG185_PATCH	39981433	39992515	115024
13	114586640	114626485	643365
15	20737094	20747114	727832
HG185_PATCH	39991937	40004636	317719
HG185_PATCH	40009797	40021683	55175
15	49280673	49338760	9728
13	41025131	41055143	646982
15	22051853	22083227	317754
21	10906201	11029719	7179
HG185_PATCH	40023160	40075239	47
13	41482295	41495910	283507
HG185_PATCH	40086887	40121903	83538
21	14982498	15013906	388468
21	14982498	15013906	339010
21	14982498	15013906	317754
13	44482850	44604597	121838
HG185_PATCH	40122993	40131428	1267
18	24235706	24770662	147429
18	13217497	13652754	753
18	24267585	24283602	728606
HG185_PATCH	40132691	40173905	7266
21	15481134	15583166	149998
13	45911615	45911744	677814
21	15588451	15600693	54033
15	22368478	22369561	390538
HG185_PATCH	40173272	40181893	28511
15	22382382	22383507	283694
13	45915480	45965872	100190939
21	15743436	15755805	6782
15	22736246	22746002	283767
HG185_PATCH	40257656	40268985	79132
15	49398268	49447858	9318
21	15857549	15955723	64092
HG185_PATCH	40269360	40277610	2648
HG185_PATCH	40277683	40279604	94086
HG185_PATCH	40281228	40311269	5878
15	22833395	22873892	114791
21	16333556	16437321	8204
15	41028082	41048049	55177
HG183_PATCH	62399863	62491136	5175
13	50464727	50467134	220429
21	26758133	26804013	54072
21	26934221	26947480	114614
13	50746225	50747317	145165
21	26955082	26955638	282566
HG183_PATCH	62526397	62546003	284021
15	41056218	41059906	2644
HG183_PATCH	62555145	62574426	11232
18	30091626	30094597	441818
15	41060067	41099675	55192
18	13663346	13726662	125228
13	51568647	51654998	2974
21	17102344	17252377	29761
HG183_PATCH	62576980	62585072	1655
18	44259081	44339220	29906
HG183_PATCH	62584096	62615309	90799
21	18884700	18965897	1525
18	13726659	13764557	8731
HG998_1_PATCH	139098179	139137687	169714
18	44388353	44500123	9063
15	49447853	49660066	2585
21	18965971	18985265	10950
15	41062159	41064643	643338
21	29094698	29123552	54088
HG186_PATCH	50712672	51421329	1795
21	29385682	29395552	246705
