MIMAT0010195;hs11 122146522 122146593
MIMAT0000062;hs22 46112749 46112822
MIMAT0004481;hs22 46112749 46112822
MIMAT0000063;hs22 46113686 46113768
MIMAT0004482;hs22 46113686 46113768
MIMAT0000064;hs21 16539828 16539911
MIMAT0000065;hs9 94178834 94178920
MIMAT0004484;hs9 94178834 94178920
MIMAT0000066;hs19 51692786 51692864
MIMAT0004485;hs19 51692786 51692864
MIMAT0000067;hsX 53557192 53557274
MIMAT0000414;hs3 52268278 52268361
MIMAT0004584;hs3 52268278 52268361
MIMAT0000415;hs12 62603686 62603769
MIMAT0004585;hs12 62603686 62603769
MIMAT0000098;hs11 122152229 122152308
MIMAT0004512;hs11 122152229 122152308
MIMAT0000099;hs9 4850297 4850375
MIMAT0009196;hs20 3917494 3917571
MIMAT0000101;hs20 3917494 3917571
MIMAT0000103;hsX 134170198 134170278
MIMAT0000680;hs7 100093993 100094074
MIMAT0004672;hs7 100093993 100094074
MIMAT0000104;hs10 89592747 89592827
MIMAT0000253;hs17 48579838 48579947
MIMAT0004555;hs17 48579838 48579947
MIMAT0000254;hs2 176150303 176150412
MIMAT0004556;hs2 176150303 176150412
MIMAT0005824;hs15 88608107 88608197
MIMAT0005798;hs14 101044198 101044283
MIMAT0005577;hs3 47849555 47849629
MIMAT0005580;hs19 2234062 2234149
MIMAT0005584;hs5 179798278 179798346
MIMAT0005589;hs8 144400086 144400165
MIMAT0005899;hs14 101560287 101560422
MIMAT0005909;hs2 179860836 179860908
MIMAT0000443;hs19 51693254 51693339
MIMAT0004592;hs11 122099757 122099844
MIMAT0004603;hs21 16590237 16590325
MIMAT0000423;hs21 16590237 16590325
MIMAT0005920;hs15 52277117 52277200
MIMAT0000444;hs9 136670602 136670686
MIMAT0000445;hs9 136670602 136670686
MIMAT0005929;hs6 33999972 34000051
MIMAT0005933;hsX 118386394 118386471
MIMAT0000446;hs14 100882979 100883075
MIMAT0004604;hs14 100882979 100883075
MIMAT0000424;hs3 35744476 35744559
MIMAT0004605;hs11 43581394 43581483
MIMAT0005884;hs5 154347106 154347247
MIMAT0005885;hs1 171101728 171101806
MIMAT0005797;hs2 25328640 25328721
MIMAT0005892;hs11 93733674 93733764
MIMAT0005951;hs10 103394253 103394401
MIMAT0000425;hs11 57641198 57641286
MIMAT0000691;hs22 21653304 21653385
MIMAT0004680;hs22 21653304 21653385
MIMAT0000426;hs17 2049908 2050008
MIMAT0000427;hs20 62564912 62565013
MIMAT0000770;hs6 52148923 52149041
MIMAT0000447;hs14 101054687 101054759
MIMAT0000758;hs1 205448302 205448398
MIMAT0000448;hs14 100884702 100884783
MIMAT0004606;hs14 100884702 100884783
MIMAT0004607;hs3 44114212 44114310
MIMAT0000430;hs16 56858518 56858601
MIMAT0000250;hs11 72615063 72615130
MIMAT0004552;hs11 72615063 72615130
MIMAT0000431;hs16 69933081 69933180
MIMAT0004597;hs16 69933081 69933180
MIMAT0000432;hs12 6964097 6964191
MIMAT0004598;hs12 6964097 6964191
MIMAT0000433;hs17 58331232 58331318
MIMAT0000434;hs17 58331232 58331318
MIMAT0000435;hs5 149428918 149429023
MIMAT0004599;hs5 149428918 149429023
MIMAT0000436;hs17 28861533 28861618
MIMAT0004600;hs17 28861533 28861618
MIMAT0000437;hs5 149430646 149430733
MIMAT0004601;hs5 149430646 149430733
MIMAT0006789;hsX 63786002 63786087
MIMAT0000449;hs5 160485352 160485450
MIMAT0004608;hs5 160485352 160485450
MIMAT0002809;hs10 102436512 102436584
MIMAT0004766;hs10 102436512 102436584
MIMAT0000243;hs7 25949919 25949986
MIMAT0004549;hs7 25949919 25949986
MIMAT0000759;hs12 54337216 54337314
MIMAT0004699;hs12 54337216 54337314
MIMAT0000450;hs2 240456001 240456089
MIMAT0004609;hs2 240456001 240456089
MIMAT0000451;hs19 49500785 49500868
MIMAT0004610;hs19 49500785 49500868
MIMAT0000757;hs8 140732564 140732653
MIMAT0004697;hs8 140732564 140732653
MIMAT0000438;hs17 48037161 48037247
MIMAT0007400;hs16 69565808 69565868
MIMAT0000439;hs7 157574336 157574422
MIMAT0000452;hs14 101059755 101059838
MIMAT0000646;hs21 25573980 25574044
MIMAT0004658;hs21 25573980 25574044
MIMAT0000068;hs13 50049119 50049201
MIMAT0004488;hs13 50049119 50049201
MIMAT0000417;hs3 160404588 160404685
MIMAT0004586;hs3 160404588 160404685
MIMAT0004518;hs3 160404745 160404825
MIMAT0000069;hs3 160404745 160404825
MIMAT0000070;hs13 91350605 91350688
MIMAT0000071;hs13 91350605 91350688
MIMAT0004558;hs9 124692442 124692551
MIMAT0000256;hs9 124692442 124692551
MIMAT0000257;hs9 124693710 124693798
MIMAT0000258;hs19 13874699 13874808
MIMAT0004559;hs19 13874699 13874808
MIMAT0002821;hs19 13874875 13875011
MIMAT0000259;hs7 129770383 129770492
MIMAT0000261;hs7 129774905 129775014
MIMAT0004560;hs7 129774905 129775014
MIMAT0000455;hs22 20033139 20033220
MIMAT0004611;hs22 20033139 20033220
MIMAT0000456;hs1 71067631 71067716
MIMAT0000262;hs18 35904818 35904926
MIMAT0000457;hsX 50003503 50003588
MIMAT0004613;hsX 50003503 50003588
MIMAT0000072;hs13 91350751 91350821
MIMAT0002891;hs13 91350751 91350821
MIMAT0001412;hsX 134170041 134170111
MIMAT0004751;hsX 134170041 134170111
MIMAT0004929;hs1 154193665 154193743
MIMAT0007884;hs16 85741621 85741700
MIMAT0007889;hs20 63941465 63941544
MIMAT0000440;hs3 49020618 49020709
MIMAT0001618;hs3 49020618 49020709
MIMAT0000222;hs11 64891137 64891246
MIMAT0004543;hs11 64891137 64891246
MIMAT0004614;hs17 31559996 31560083
MIMAT0002819;hs16 14303967 14304049
MIMAT0004767;hs16 14303967 14304049
MIMAT0004671;hs11 64891355 64891439
MIMAT0000460;hs11 64891355 64891439
MIMAT0000461;hs17 7017615 7017701
MIMAT0004615;hs17 7017615 7017701
MIMAT0000226;hs12 53991738 53991847
MIMAT0001080;hs7 27169480 27169563
MIMAT0009201;hs7 27169480 27169563
MIMAT0009451;hs1 26554542 26554593
MIMAT0000227;hs1 109598893 109598967
MIMAT0000231;hs1 172144535 172144644
MIMAT0000232;hs1 172144535 172144644
MIMAT0000263;hs9 128244721 128244830
MIMAT0004563;hs9 128244721 128244830
MIMAT0000073;hs13 91350891 91350972
MIMAT0004491;hs13 91351192 91351278
MIMAT0000074;hsX 134169671 134169766
MIMAT0000416;hs18 21829004 21829088
MIMAT0000682;hs1 1167863 1167952
MIMAT0001620;hs1 1167863 1167952
MIMAT0000318;hs1 1167104 1167198
MIMAT0004571;hs1 1167104 1167198
MIMAT0000617;hs12 6963699 6963766
MIMAT0004657;hs12 6963699 6963766
MIMAT0002810;hs10 133247511 133247620
MIMAT0000264;hs14 104117405 104117514
MIMAT0000265;hs9 70809975 70810084
MIMAT0000266;hs1 209432133 209432242
MIMAT0009197;hs1 209432133 209432242
MIMAT0000462;hs6 52144349 52144434
MIMAT0000075;hs13 91351065 91351135
MIMAT0004493;hs13 91351065 91351135
MIMAT0001413;hsX 134169809 134169877
MIMAT0004752;hsX 134169809 134169877
MIMAT0000267;hs11 568089 568198
MIMAT0011158;hs3 48316360 48316459
MIMAT0011160;hs15 59171183 59171262
MIMAT0011161;hs15 59171183 59171262
MIMAT0000268;hs15 31065032 31065141
MIMAT0000269;hs17 2050271 2050380
MIMAT0000271;hs1 172138798 172138907
MIMAT0004564;hs1 172138798 172138907
MIMAT0000272;hs1 220117853 220117962
MIMAT0000273;hs2 55988950 55989059
MIMAT0000274;hs2 55982967 55983076
MIMAT0004565;hs4 20528275 20528384
MIMAT0000275;hs5 168768146 168768255
MIMAT0000076;hs17 59841266 59841337
MIMAT0004494;hs17 59841266 59841337
MIMAT0000278;hsX 45746157 45746266
MIMAT0004568;hsX 45746157 45746266
MIMAT0000279;hsX 45747015 45747124
MIMAT0004569;hsX 45747015 45747124
MIMAT0000280;hsX 66018870 66018979
MIMAT0004570;hsX 66018870 66018979
MIMAT0000281;hsX 151958578 151958658
MIMAT0009198;hsX 151958578 151958658
MIMAT0011777;hs5 93620696 93620788
MIMAT0000077;hs17 1713903 1713987
MIMAT0004495;hs17 1713903 1713987
MIMAT0016895;hs2 207109987 207110073
MIMAT0000078;hs19 13836587 13836659
MIMAT0004496;hs19 13836587 13836659
