from	to	weight
A2M	hsa-let-7c.MIMAT0000064	0.219749
A2M	hsa-mir-100.MIMAT0000098	0.216419
A2M	hsa-mir-125b-2.MIMAT0004603	0.205769
A2M	hsa-mir-125b.MIMAT0000423	0.152636
A2M	hsa-mir-140.MIMAT0004597	0.177812
A2M	hsa-mir-141.MIMAT0000432	0.177373
A2M	hsa-mir-218.MIMAT0000275	0.190991
A2M	hsa-mir-381.MIMAT0000736	0.153
A2M	hsa-mir-99a.MIMAT0000097	0.226694
A2ML1	hsa-let-7a.MIMAT0000062	0.192796
A2ML1	hsa-let-7b.MIMAT0000063	0.150065
A2ML1	hsa-mir-190b.MIMAT0004929	0.150681
AASS	hsa-mir-3200.MIMAT0015085	0.158698
ABAT	hsa-mir-10a.MIMAT0000253	0.160702
ABAT	hsa-mir-188.MIMAT0004613	0.166964
ABAT	hsa-mir-18a.MIMAT0002891	0.174953
ABAT	hsa-mir-190b.MIMAT0004929	0.202293
ABAT	hsa-mir-199a.MIMAT0000231	0.15527
ABCA10	hsa-let-7c.MIMAT0000064	0.269145
ABCA10	hsa-mir-125b-2.MIMAT0004603	0.236502
ABCA10	hsa-mir-139.MIMAT0000250	0.15244
ABCA10	hsa-mir-139.MIMAT0004552	0.169248
ABCA10	hsa-mir-140.MIMAT0004597	0.166116
ABCA10	hsa-mir-195.MIMAT0000461	0.174316
ABCA10	hsa-mir-204.MIMAT0000265	0.289925
ABCA10	hsa-mir-210.MIMAT0000267	0.183671
ABCA10	hsa-mir-410.MIMAT0002171	0.158676
ABCA10	hsa-mir-99a.MIMAT0000097	0.300074
ABCA6	hsa-let-7c.MIMAT0000064	0.279408
ABCA6	hsa-mir-10b.MIMAT0000254	0.186369
ABCA6	hsa-mir-10b.MIMAT0004556	0.16872
ABCA6	hsa-mir-125b-2.MIMAT0004603	0.240325
ABCA6	hsa-mir-195.MIMAT0000461	0.15063
ABCA6	hsa-mir-199b.MIMAT0000263	0.17244
ABCA6	hsa-mir-204.MIMAT0000265	0.186957
ABCA6	hsa-mir-210.MIMAT0000267	0.171229
ABCA6	hsa-mir-218.MIMAT0000275	0.186275
ABCA6	hsa-mir-337.MIMAT0000754	0.196597
ABCA6	hsa-mir-381.MIMAT0000736	0.159246
ABCA6	hsa-mir-409.MIMAT0001638	0.158997
ABCA6	hsa-mir-411.MIMAT0003329	0.184634
ABCA6	hsa-mir-495.MIMAT0002817	0.162669
ABCA6	hsa-mir-99a.MIMAT0000097	0.322657
