	alias.number	alias	target.number	target	name	description	namespace
1	1	ENTREZGENE_ACC:1	1.1	ENSG00000121410	A1BG	alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]	ENTREZGENE
2	11534	ENTREZGENE_ACC:10	11534.1	ENSG00000156006	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase) [Source:HGNC Symbol;Acc:HGNC:7646]	ENTREZGENE
3	298	ENTREZGENE_ACC:100	298.1	ENSG00000196839	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	ENTREZGENE
4	3421	ENTREZGENE_ACC:1000	3421.1	ENSG00000170558	CDH2	cadherin 2, type 1, N-cadherin (neuronal) [Source:HGNC Symbol;Acc:HGNC:1759]	ENTREZGENE
5	498	ENTREZGENE_ACC:10000	498.1	ENSG00000117020	AKT3	v-akt murine thymoma viral oncogene homolog 3 [Source:HGNC Symbol;Acc:HGNC:393]	ENTREZGENE
6	6776	ENTREZGENE_ACC:100008586	6776.1	ENSG00000205777	GAGE1	G antigen 1 [Source:HGNC Symbol;Acc:HGNC:4098]	ENTREZGENE
7	9629	ENTREZGENE_ACC:100009676	9629.1	ENSG00000256628	ZBTB11-AS1	ZBTB11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48573]	ENTREZGENE
8	10754	ENTREZGENE_ACC:10001	10754.1	ENSG00000133997	MED6	mediator complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:19970]	ENTREZGENE
9	12057	ENTREZGENE_ACC:10002	12057.1	ENSG00000278570	NR2E3	nuclear receptor subfamily 2, group E, member 3 [Source:HGNC Symbol;Acc:HGNC:7974]	ENTREZGENE
10	11481	ENTREZGENE_ACC:10003	11481.1	ENSG00000077616	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	ENTREZGENE
11	16757	ENTREZGENE_ACC:100033413	16757.1	ENSG00000207063	SNORD116-1	small nucleolar RNA, C/D box 116-1 [Source:HGNC Symbol;Acc:HGNC:33067]	ENTREZGENE
12	16767	ENTREZGENE_ACC:100033414	16767.1	ENSG00000207001	SNORD116-2	small nucleolar RNA, C/D box 116-2 [Source:HGNC Symbol;Acc:HGNC:33068]	ENTREZGENE
13	16768	ENTREZGENE_ACC:100033415	16768.1	ENSG00000207014	SNORD116-3	small nucleolar RNA, C/D box 116-3 [Source:HGNC Symbol;Acc:HGNC:33069]	ENTREZGENE
14	16769	ENTREZGENE_ACC:100033416	16769.1	ENSG00000275529	SNORD116-4	small nucleolar RNA, C/D box 116-4 [Source:HGNC Symbol;Acc:HGNC:33070]	ENTREZGENE
15	16770	ENTREZGENE_ACC:100033417	16770.1	ENSG00000207191	SNORD116-5	small nucleolar RNA, C/D box 116-5 [Source:HGNC Symbol;Acc:HGNC:33071]	ENTREZGENE
16	16771	ENTREZGENE_ACC:100033420	16771.1	ENSG00000207093	SNORD116-8	small nucleolar RNA, C/D box 116-8 [Source:HGNC Symbol;Acc:HGNC:33074]	ENTREZGENE
17	16748	ENTREZGENE_ACC:100033422	16748.1	ENSG00000200661	SNORD116-10	small nucleolar RNA, C/D box 116-10 [Source:HGNC Symbol;Acc:HGNC:33076]	ENTREZGENE
18	16749	ENTREZGENE_ACC:100033423	16749.1	ENSG00000206609	SNORD116-11	small nucleolar RNA, C/D box 116-11 [Source:HGNC Symbol;Acc:HGNC:33077]	ENTREZGENE
19	16750	ENTREZGENE_ACC:100033424	16750.1	ENSG00000207197	SNORD116-12	small nucleolar RNA, C/D box 116-12 [Source:HGNC Symbol;Acc:HGNC:33078]	ENTREZGENE
20	16751	ENTREZGENE_ACC:100033425	16751.1	ENSG00000207137	SNORD116-13	small nucleolar RNA, C/D box 116-13 [Source:HGNC Symbol;Acc:HGNC:33079]	ENTREZGENE
21	16752	ENTREZGENE_ACC:100033426	16752.1	ENSG00000206621	SNORD116-14	small nucleolar RNA, C/D box 116-14 [Source:HGNC Symbol;Acc:HGNC:33080]	ENTREZGENE
22	16753	ENTREZGENE_ACC:100033427	16753.1	ENSG00000207174	SNORD116-15	small nucleolar RNA, C/D box 116-15 [Source:HGNC Symbol;Acc:HGNC:33081]	ENTREZGENE
23	16754	ENTREZGENE_ACC:100033428	16754.1	ENSG00000207263	SNORD116-16	small nucleolar RNA, C/D box 116-16 [Source:HGNC Symbol;Acc:HGNC:33082]	ENTREZGENE
24	16755	ENTREZGENE_ACC:100033430	16755.1	ENSG00000206688	SNORD116-18	small nucleolar RNA, C/D box 116-18 [Source:HGNC Symbol;Acc:HGNC:33084]	ENTREZGENE
25	16758	ENTREZGENE_ACC:100033431	16758.1	N/A	N/A	N/A	N/A
26	16759	ENTREZGENE_ACC:100033433	16759.1	ENSG00000275127	SNORD116-22	small nucleolar RNA, C/D box 116-22 [Source:HGNC Symbol;Acc:HGNC:33088]	ENTREZGENE
27	16760	ENTREZGENE_ACC:100033434	16760.1	ENSG00000207375	SNORD116-23	small nucleolar RNA, C/D box 116-23 [Source:HGNC Symbol;Acc:HGNC:33089]	ENTREZGENE
28	16761	ENTREZGENE_ACC:100033435	16761.1	ENSG00000207279	SNORD116-24	small nucleolar RNA, C/D box 116-24 [Source:HGNC Symbol;Acc:HGNC:33090]	ENTREZGENE
29	16762	ENTREZGENE_ACC:100033436	16762.1	ENSG00000252326	SNORD116-25	small nucleolar RNA, C/D box 116-25 [Source:HGNC Symbol;Acc:HGNC:33091]	ENTREZGENE
30	16728	ENTREZGENE_ACC:100033437	16728.1	ENSG00000199712	SNORD115-2	small nucleolar RNA, C/D box 115-2 [Source:HGNC Symbol;Acc:HGNC:33021]	ENTREZGENE
31	16763	ENTREZGENE_ACC:100033438	16763.1	ENSG00000251815	SNORD116-26	small nucleolar RNA, C/D box 116-26 [Source:HGNC Symbol;Acc:HGNC:33092]	ENTREZGENE
32	16764	ENTREZGENE_ACC:100033439	16764.1	ENSG00000251896	SNORD116-27	small nucleolar RNA, C/D box 116-27 [Source:HGNC Symbol;Acc:HGNC:33093]	ENTREZGENE
33	16737	ENTREZGENE_ACC:100033440	16737.1	ENSG00000199970	SNORD115-3	small nucleolar RNA, C/D box 115-3 [Source:HGNC Symbol;Acc:HGNC:33022]	ENTREZGENE
34	16742	ENTREZGENE_ACC:100033441	16742.1	ENSG00000200680	SNORD115-4	small nucleolar RNA, C/D box 115-4 [Source:HGNC Symbol;Acc:HGNC:33023]	ENTREZGENE
35	16743	ENTREZGENE_ACC:100033442	16743.1	ENSG00000200503	SNORD115-5	small nucleolar RNA, C/D box 115-5 [Source:HGNC Symbol;Acc:HGNC:33024]	ENTREZGENE
36	16744	ENTREZGENE_ACC:100033443	16744.1	ENSG00000200812	SNORD115-6	small nucleolar RNA, C/D box 115-6 [Source:HGNC Symbol;Acc:HGNC:33025]	ENTREZGENE
37	16745	ENTREZGENE_ACC:100033444	16745.1	ENSG00000278089	SNORD115-7	small nucleolar RNA, C/D box 115-7 [Source:HGNC Symbol;Acc:HGNC:33026]	ENTREZGENE
38	16746	ENTREZGENE_ACC:100033445	16746.1	ENSG00000200726	SNORD115-8	small nucleolar RNA, C/D box 115-8 [Source:HGNC Symbol;Acc:HGNC:33027]	ENTREZGENE
39	16747	ENTREZGENE_ACC:100033446	16747.1	ENSG00000199782	SNORD115-9	small nucleolar RNA, C/D box 115-9 [Source:HGNC Symbol;Acc:HGNC:33028]	ENTREZGENE
40	16717	ENTREZGENE_ACC:100033447	16717.1	ENSG00000201943	SNORD115-10	small nucleolar RNA, C/D box 115-10 [Source:HGNC Symbol;Acc:HGNC:33029]	ENTREZGENE
41	16718	ENTREZGENE_ACC:100033448	16718.1	ENSG00000200486	SNORD115-11	small nucleolar RNA, C/D box 115-11 [Source:HGNC Symbol;Acc:HGNC:33030]	ENTREZGENE
42	16719	ENTREZGENE_ACC:100033450	16719.1	ENSG00000273835	SNORD115-13	small nucleolar RNA, C/D box 115-13 [Source:HGNC Symbol;Acc:HGNC:33032]	ENTREZGENE
43	16720	ENTREZGENE_ACC:100033451	16720.1	ENSG00000199960	SNORD115-14	small nucleolar RNA, C/D box 115-14 [Source:HGNC Symbol;Acc:HGNC:33033]	ENTREZGENE
44	16721	ENTREZGENE_ACC:100033454	16721.1	ENSG00000200757	SNORD115-16	small nucleolar RNA, C/D box 115-16 [Source:HGNC Symbol;Acc:HGNC:33035]	ENTREZGENE
45	16722	ENTREZGENE_ACC:100033455	16722.1	ENSG00000201482	SNORD115-17	small nucleolar RNA, C/D box 115-17 [Source:HGNC Symbol;Acc:HGNC:33036]	ENTREZGENE
46	16724	ENTREZGENE_ACC:100033460	16724.1	ENSG00000201969	SNORD115-20	small nucleolar RNA, C/D box 115-20 [Source:HGNC Symbol;Acc:HGNC:33039]	ENTREZGENE
47	16725	ENTREZGENE_ACC:100033799	16725.1	ENSG00000201326	SNORD115-22	small nucleolar RNA, C/D box 115-22 [Source:HGNC Symbol;Acc:HGNC:33041]	ENTREZGENE
48	16726	ENTREZGENE_ACC:100033801	16726.1	ENSG00000199489	SNORD115-25	small nucleolar RNA, C/D box 115-25 [Source:HGNC Symbol;Acc:HGNC:33044]	ENTREZGENE
